,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_414_1,0.00018590375782881,0.00018590375782881,0.00018590375782881,0.00018590375782881,0.00018590375782881
k115_414_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7861_1,0.000227948101265822,0.000227948101265822,0.000227948101265822,0.000227948101265822,0.000227948101265822
k115_7861_2,0.000412247505422993,0.000412247505422993,0.000412247505422993,0.000412247505422993,0.000412247505422993
k115_2481_1,0.000425827976409878,0.000425827976409878,0.000425827976409878,0.000425827976409878,0.000425827976409878
k115_2481_2,0.000156753151492812,0.000156753151492812,0.000156753151492812,0.000156753151492812,0.000156753151492812
k115_9096_1,0.000225910521004162,0.000225910521004162,0.000225910521004162,0.000225910521004162,0.000225910521004162
k115_9096_2,9.848546922300701e-05,9.848546922300701e-05,9.848546922300701e-05,9.848546922300701e-05,9.848546922300701e-05
k115_829_1,0.00024169166271909001,0.00024169166271909001,0.00024169166271909001,0.00024169166271909001,0.00024169166271909001
k115_829_2,6.7603552818569e-05,6.7603552818569e-05,6.7603552818569e-05,6.7603552818569e-05,6.7603552818569e-05
k115_3739_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3739_2,0.00016599057043073298,0.00016599057043073298,0.00016599057043073298,0.00016599057043073298,0.00016599057043073298
k115_430_1,0.00019057619047619,0.00019057619047619,0.00019057619047619,0.00019057619047619,0.00019057619047619
k115_430_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9510_1,0.00023779808173477802,0.00023779808173477802,0.00023779808173477802,0.00023779808173477802,0.00023779808173477802
k115_9510_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6620_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
