,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_8675,0.000177287153931339,0.000177287153931339,0.000177287153931339,0.000177287153931339,0.000177287153931339
k115_414,5.1242886963782004e-05,5.1242886963782004e-05,5.1242886963782004e-05,5.1242886963782004e-05,5.1242886963782004e-05
k115_7861,0.000148355288374615,0.000148355288374615,0.000148355288374615,0.000148355288374615,0.000148355288374615
k115_2481,0.000285761629192775,0.000285761629192775,0.000285761629192775,0.000285761629192775,0.000285761629192775
k115_2916,0.000248943866989649,0.000248943866989649,0.000248943866989649,0.000248943866989649,0.000248943866989649
k115_9096,0.000150841091138442,0.000150841091138442,0.000150841091138442,0.000150841091138442,0.000150841091138442
k115_829,0.000148134107058266,0.000148134107058266,0.000148134107058266,0.000148134107058266,0.000148134107058266
k115_3739,4.3755413271245e-05,4.3755413271245e-05,4.3755413271245e-05,4.3755413271245e-05,4.3755413271245e-05
k115_9510,0.000311818098415346,0.000311818098415346,0.000311818098415346,0.000311818098415346,0.000311818098415346
k115_437,0.000134997360703812,0.000134997360703812,0.000134997360703812,0.000134997360703812,0.000134997360703812
k115_4580,0.000160206737825216,0.000160206737825216,0.000160206737825216,0.000160206737825216,0.000160206737825216
k115_9518,0.005223545595854921,0.005223545595854921,0.005223545595854921,0.005223545595854921,0.005223545595854921
k115_6623,0.000278171101724744,0.000278171101724744,0.000278171101724744,0.000278171101724744,0.000278171101724744
k115_438,0.001819754427645788,0.001819754427645788,0.001819754427645788,0.001819754427645788,0.001819754427645788
k115_9524,0.00041686589664205703,0.00041686589664205703,0.00041686589664205703,0.00041686589664205703,0.00041686589664205703
k115_8308,0.00013689311803694802,0.00013689311803694802,0.00013689311803694802,0.00013689311803694802,0.00013689311803694802
k115_2939,0.000111569639190378,0.000111569639190378,0.000111569639190378,0.000111569639190378,0.000111569639190378
k115_4157,0.000183438694113863,0.000183438694113863,0.000183438694113863,0.000183438694113863,0.000183438694113863
k115_9525,0.000202500143292136,0.000202500143292136,0.000202500143292136,0.000202500143292136,0.000202500143292136
k115_1298,0.00014862535539995702,0.00014862535539995702,0.00014862535539995702,0.00014862535539995702,0.00014862535539995702
k115_6632,8.4481064889038e-05,8.4481064889038e-05,8.4481064889038e-05,8.4481064889038e-05,8.4481064889038e-05
k115_6202,0.000144745736507635,0.000144745736507635,0.000144745736507635,0.000144745736507635,0.000144745736507635
k115_1697,0.000103008277404921,0.000103008277404921,0.000103008277404921,0.000103008277404921,0.000103008277404921
k115_2513,9.650041789343699e-05,9.650041789343699e-05,9.650041789343699e-05,9.650041789343699e-05,9.650041789343699e-05
k115_871,0.000260528670200507,0.000260528670200507,0.000260528670200507,0.000260528670200507,0.000260528670200507
k115_2123,2.0111532069327996e-05,2.0111532069327996e-05,2.0111532069327996e-05,2.0111532069327996e-05,2.0111532069327996e-05
k115_8345,0.001439282915506035,0.001439282915506035,0.001439282915506035,0.001439282915506035,0.001439282915506035
k115_2974,9.9675579497224e-05,9.9675579497224e-05,9.9675579497224e-05,9.9675579497224e-05,9.9675579497224e-05
k115_5821,5.847546928235e-05,5.847546928235e-05,5.847546928235e-05,5.847546928235e-05,5.847546928235e-05
k115_6233,0.003023608137432188,0.003023608137432188,0.003023608137432188,0.003023608137432188,0.003023608137432188
k115_8349,0.000114191273018414,0.000114191273018414,0.000114191273018414,0.000114191273018414,0.000114191273018414
k115_1325,0.000352201071134303,0.000352201071134303,0.000352201071134303,0.000352201071134303,0.000352201071134303
k115_6240,0.000135235135135135,0.000135235135135135,0.000135235135135135,0.000135235135135135,0.000135235135135135
k115_474,0.00019749844819717002,0.00019749844819717002,0.00019749844819717002,0.00019749844819717002,0.00019749844819717002
k115_9191,0.000415930226555778,0.000415930226555778,0.000415930226555778,0.000415930226555778,0.000415930226555778
k115_5014,0.000500808549834671,0.000500808549834671,0.000500808549834671,0.000500808549834671,0.000500808549834671
k115_7058,6.9056371833974e-05,6.9056371833974e-05,6.9056371833974e-05,6.9056371833974e-05,6.9056371833974e-05
