,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_414_1,0.000102396450939457,0.000102396450939457,0.000102396450939457,0.000102396450939457,0.000102396450939457
k115_414_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7861_1,0.000296664195298372,0.000296664195298372,0.000296664195298372,0.000296664195298372,0.000296664195298372
k115_7861_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2481_1,0.00046821647622558,0.00046821647622558,0.00046821647622558,0.00046821647622558,0.00046821647622558
k115_2481_2,0.00010330678215996999,0.00010330678215996999,0.00010330678215996999,0.00010330678215996999,0.00010330678215996999
k115_2916_1,0.000497897356828193,0.000497897356828193,0.000497897356828193,0.000497897356828193,0.000497897356828193
k115_2916_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9096_1,6.696009839788e-05,6.696009839788e-05,6.696009839788e-05,6.696009839788e-05,6.696009839788e-05
k115_9096_2,0.000234711503531786,0.000234711503531786,0.000234711503531786,0.000234711503531786,0.000234711503531786
k115_829_1,0.000207347749881572,0.000207347749881572,0.000207347749881572,0.000207347749881572,0.000207347749881572
k115_829_2,8.892046423495901e-05,8.892046423495901e-05,8.892046423495901e-05,8.892046423495901e-05,8.892046423495901e-05
k115_3739_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3739_2,8.7410826542491e-05,8.7410826542491e-05,8.7410826542491e-05,8.7410826542491e-05,8.7410826542491e-05
k115_9510_1,0.00024822343619683,0.00024822343619683,0.00024822343619683,0.00024822343619683,0.00024822343619683
k115_9510_2,0.000375412760633861,0.000375412760633861,0.000375412760633861,0.000375412760633861,0.000375412760633861
k115_4580_1,0.00010461412052479401,0.00010461412052479401,0.00010461412052479401,0.00010461412052479401,0.00010461412052479401
k115_4580_2,0.000215799355125639,0.000215799355125639,0.000215799355125639,0.000215799355125639,0.000215799355125639
k115_438_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_438_2,0.003639408855291576,0.003639408855291576,0.003639408855291576,0.003639408855291576,0.003639408855291576
k115_9524_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9524_2,0.000833433333333333,0.000833433333333333,0.000833433333333333,0.000833433333333333,0.000833433333333333
k115_8308_1,0.000112919066422225,0.000112919066422225,0.000112919066422225,0.000112919066422225,0.000112919066422225
k115_8308_2,0.000160867169651671,0.000160867169651671,0.000160867169651671,0.000160867169651671,0.000160867169651671
k115_2939_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2939_2,0.000223017481423543,0.000223017481423543,0.000223017481423543,0.000223017481423543,0.000223017481423543
k115_4157_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4157_2,0.000366777388227726,0.000366777388227726,0.000366777388227726,0.000366777388227726,0.000366777388227726
k115_9525_1,0.00040497280544607596,0.00040497280544607596,0.00040497280544607596,0.00040497280544607596,0.00040497280544607596
k115_9525_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1298_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1298_2,0.000297087696224013,0.000297087696224013,0.000297087696224013,0.000297087696224013,0.000297087696224013
k115_6632_1,8.9551476793248e-05,8.9551476793248e-05,8.9551476793248e-05,8.9551476793248e-05,8.9551476793248e-05
k115_6632_2,7.9411508606142e-05,7.9411508606142e-05,7.9411508606142e-05,7.9411508606142e-05,7.9411508606142e-05
k115_6202_1,0.00025761683581523203,0.00025761683581523203,0.00025761683581523203,0.00025761683581523203,0.00025761683581523203
k115_6202_2,3.1874637200037e-05,3.1874637200037e-05,3.1874637200037e-05,3.1874637200037e-05,3.1874637200037e-05
k115_1697_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1697_2,0.000205916554809843,0.000205916554809843,0.000205916554809843,0.000205916554809843,0.000205916554809843
k115_2513_1,0.000192900835786874,0.000192900835786874,0.000192900835786874,0.000192900835786874,0.000192900835786874
k115_2513_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
