contig	bin
k115_3027	0
k115_2561	1
k115_7564	1
k115_3438	4
k115_6263	1
k115_5496	11
k115_891	4
k115_9606	6
k115_8408	0
k115_7065	5
k115_3035	10
k115_8749	1
k115_3443	0
k115_5499	4
k115_1334	4
k115_7575	0
k115_5035	4
k115_3036	6
k115_4227	0
k115_216	0
k115_7070	4
k115_5036	12
k115_8755	4
k115_505	1
k115_1735	4
k115_6271	1
k115_3039	4
k115_3462	13
k115_223	4
k115_4239	5
k115_9261	6
k115_3043	0
k115_1742	0
k115_7927	4
k115_5055	0
k115_5882	4
k115_4676	1
k115_7091	1
k115_3047	8
k115_2227	4
k115_3478	0
k115_9648	0
k115_7608	8
k115_6285	4
k115_9274	10
k115_524	4
k115_8440	11
k115_3786	1
k115_919	1
k115_5885	4
k115_251	6
k115_9277	4
k115_8441	4
k115_7096	4
k115_3794	0
k115_4700	4
k115_5073	5
k115_930	8
k115_3058	4
k115_9279	4
k115_264	10
k115_4257	1
k115_3061	6
k115_9656	8
k115_7644	0
k115_3801	4
k115_6692	1
k115_268	0
k115_4716	4
k115_8802	4
k115_948	5
k115_9284	1
k115_8463	4
k115_5908	4
k115_7651	0
k115_3808	4
k115_5508	1
k115_3069	5
k115_7654	6
k115_278	0
k115_8473	0
k115_9671	0
k115_8807	5
k115_2232	4
k115_7134	1
k115_7942	4
k115_9676	6
k115_5932	0
k115_4282	0
k115_8475	5
k115_287	1
k115_7661	4
k115_8825	0
k115_6715	4
k115_3829	5
k115_9680	4
k115_583	1
k115_5940	4
k115_4743	5
k115_1366	1
k115_9298	4
k115_7669	4
k115_8835	0
k115_6719	5
k115_5129	4
k115_4294	0
k115_5545	10
k115_8494	1
k115_5947	0
k115_588	1
k115_3080	4
k115_299	1
k115_4298	0
k115_1382	0
k115_6731	11
k115_7672	1
k115_3479	1
k115_7165	4
k115_3846	4
k115_9691	1
k115_1747	1
k115_300	5
k115_7953	1
k115_3083	13
k115_6343	1
k115_5961	0
k115_8501	4
k115_608	5
k115_7681	0
k115_1392	10
k115_9303	4
k115_2250	1
k115_3094	4
k115_610	0
k115_4771	1
k115_3856	4
k115_7201	4
k115_3857	0
k115_4777	4
k115_5563	4
k115_9317	4
k115_6356	1
k115_3114	5
k115_960	1
k115_2268	6
k115_9323	0
k115_343	4
k115_7966	4
k115_5574	4
k115_3115	4
k115_4335	4
k115_6744	4
k115_3877	13
k115_8505	4
k115_5992	1
k115_1777	1
k115_8910	0
k115_5172	4
k115_363	8
k115_5997	4
k115_2289	4
k115_4345	12
k115_7219	4
k115_5587	4
k115_8515	4
k115_646	4
k115_5177	0
k115_9349	6
k115_3485	4
k115_6359	4
k115_8516	6
k115_3120	1
k115_1779	4
k115_7220	4
k115_5179	0
k115_6004	0
k115_373	0
k115_5591	4
k115_6360	0
k115_1789	4
k115_2566	1
k115_6753	1
k115_3121	4
k115_383	4
k115_1790	4
k115_3897	4
k115_2568	4
k115_6362	4
k115_8014	4
k115_7245	6
k115_6034	0
k115_3122	1
k115_5606	4
k115_8021	4
k115_3522	4
k115_8534	1
k115_9358	1
k115_4807	1
k115_9693	1
k115_1399	4
k115_402	0
k115_3124	0
k115_1044	4
k115_4808	0
k115_6382	0
k115_404	5
k115_5619	4
k115_6049	6
k115_3128	4
k115_4372	4
k115_3924	4
k115_8040	4
k115_6053	5
k115_1807	1
k115_2359	4
k115_1407	10
k115_6754	4
k115_1070	4
k115_5195	4
k115_2360	4
k115_1418	0
k115_4399	8
k115_5649	4
k115_6768	4
k115_3571	1
k115_682	1
k115_1812	1
k115_3150	1
k115_5201	0
k115_7287	4
k115_6065	1
k115_5651	4
k115_8929	1
k115_2569	1
k115_1076	4
k115_6067	4
k115_5203	4
k115_5654	6
k115_1819	4
k115_4402	4
k115_9743	4
k115_8065	1
k115_6395	4
k115_1440	4
k115_3959	4
k115_1821	1
k115_4887	4
k115_4411	6
k115_2576	1
k115_3602	4
k115_3976	6
k115_4893	10
k115_724	1
k115_1091	4
k115_9751	1
k115_6076	4
k115_1467	4
k115_7339	4
k115_7686	1
k115_1845	4
k115_1105	2
k115_6420	1
k115_2591	4
k115_4907	0
k115_9758	4
k115_6776	4
k115_7690	5
k115_3171	1
k115_3637	4
k115_7357	6
k115_6078	1
k115_8074	4
k115_1490	4
k115_9768	4
k115_769	5
k115_2619	0
k115_2371	1
k115_6777	4
k115_5675	1
k115_1502	10
k115_6440	4
k115_7727	5
k115_4035	1
k115_3177	5
k115_8094	1
k115_1113	1
k115_7380	4
k115_6113	4
k115_5690	6
k115_6786	1
k115_2631	1
k115_788	4
k115_4909	4
k115_1881	1
k115_9359	1
k115_6123	0
k115_6797	4
