,single_output/single.bam_0_depth.txt_mean,single_output/single.bam_0_depth.txt_var
k115_5774,0.04784644303294958,0.04555811775090496
k115_3684,0.07659464618789187,0.08922356324178825
k115_8964,0.032701778938685734,0.03163302652850984
k115_2677,0.028471667881778923,0.02951231078178437
k115_9407,0.00690391037916507,0.006856384378849112
k115_4090,0.044142107120134194,0.04419959274301605
k115_6515,0.08385658454647256,0.08746463267870423
k115_8181,0.002289660732843877,0.0022844638797870067
k115_7788,0.07549776711056054,0.1212084691132861
k115_9858,0.03179746928746929,0.030787026083767485
k115_6518,0.03769331167625766,0.03627327969736769
k115_9412,0.01952930080116533,0.019148297697398953
k115_1226,0.03046518450218189,0.029537666239119947
k115_3282,20.703658768911303,549.637786659787
k115_1237,0.07159410451823625,0.06646982049855849
k115_9004,0.06266827955232415,0.05988591696620926
k115_2026,0.04194386892984004,0.07871022467762678
k115_9859,0.03797507213363706,0.03653372543152479
k115_3286,0.01424728813559322,0.014044587762137318
k115_6924,0.015105338983050847,0.014877469724037636
k115_1238,0.036111513165733355,0.03480819391287772
k115_9433,0.03149473709445422,0.030503448424547303
k115_2698,0.03621812544547399,0.03490709709719881
k115_7814,0.007374381288248107,0.007320147176489406
k115_9439,0.02713294043092522,0.05123885814293816
k115_2047,0.011441567907708443,0.011310887162879894
k115_6549,0.01847494737489998,0.018133993093342158
k115_8235,0.0036618783671403263,0.0036485421515319383
k115_9451,0.025014045962129795,0.05465264037851611
k115_6954,0.055627842556258515,0.061583909533489106
k115_8247,0.06763092793682132,0.13931697575155746
k115_1628,0.05398745996177421,0.07060859357353899
k115_6963,0.03260322516367777,0.03154090683710757
k115_9864,0.0455953615206964,0.049237712956793266
k115_6606,0.011031421918658801,0.010909950177549704
k115_3688,0.04144381371104144,0.05909382463441951
k115_9047,0.03460282670566222,0.03340616304617424
k115_9463,0.21536861088701933,0.28293034986621224
k115_3693,0.03292691453499901,0.03184339127249458
k115_8253,0.009482029902731172,0.009392310552252937
k115_8254,0.021353873517786563,0.020898312581043292
k115_9052,0.21673761965336302,0.5672862369871945
k115_6971,0.13768441860465117,0.13054959851111891
k115_9481,0.10653406417112299,0.19443802482198522
k115_9876,0.040409886108386854,0.040486109508038534
k115_9486,0.0028911524609843936,0.002882851421480958
k115_9878,0.06878503107305621,0.06460743606209338
k115_7000,8.565626396451513,15.799084727121796
k115_2821,0.0632116632016632,0.0764036301566239
k115_9889,0.016223183730715286,0.018540961565319675
k115_9891,0.020655922430320012,0.023945934354778826
k115_2837,0.054344701762859215,0.08144039447764502
k115_2853,0.02543582078499136,0.024789348422400867
k115_2859,0.008748260514495712,0.008671903317676517
k115_1656,1e-05,1e-05
k115_6198,1e-05,1e-05
k115_828,1e-05,1e-05
k115_1658,1e-05,1e-05
k115_2074,1e-05,1e-05
k115_9501,1e-05,1e-05
k115_7445,1e-05,1e-05
k115_4141,1e-05,1e-05
k115_4562,1e-05,1e-05
k115_5802,1e-05,1e-05
k115_9509,1e-05,1e-05
k115_7447,1e-05,1e-05
k115_1665,1e-05,1e-05
k115_1267,1e-05,1e-05
