,multi_sample_binning/S3.bam_cov
S1:k115_5992,0.005261566999830594
S1:k115_1777,0.003943364183248496
S1:k115_5172,0.005637490039840637
S1:k115_363,0.8163684266736129
S1:k115_3485,0.0029194912322088543
S1:k115_6359,0.005005334028654553
S1:k115_2566,0.007290834411686752
S1:k115_6753,0.0203026144904299
S1:k115_8534,0.012110026888948642
S1:k115_9358,0.013898888888888888
S1:k115_4807,0.00837807711641385
S1:k115_9693,0.015619426743400958
S1:k115_1399,0.007568092787649755
S1:k115_6049,0.041707147037307976
S1:k115_4372,0.005451837244133799
S1:k115_3924,0.02676438596491228
S1:k115_1407,0.028402745465916198
S1:k115_2360,0.018917796685574462
S1:k115_4399,0.4316377018085576
S1:k115_682,0.0028304685431416567
S1:k115_1812,0.006749978715856687
S1:k115_3150,0.011121111111111111
S1:k115_6065,0.00731871224370998
S1:k115_5651,0.022073092703696534
S1:k115_8929,0.01242532928009348
S1:k115_2569,0.008345293041728723
S1:k115_4402,0.014755828482731858
S1:k115_8065,0.012262918737718183
S1:k115_9751,0.00907683784000642
S1:k115_7686,0.007854209931881552
S1:k115_6420,0.006996268369067694
S1:k115_7690,0.053993353151010705
S1:k115_3171,0.003700807799442897
S1:k115_7357,0.05147860684451631
S1:k115_769,0.07506812022583859
S1:k115_2371,0.012725543977174047
S1:k115_5675,0.00990840424142704
S1:k115_4035,0.04222279876638397
S1:k115_8094,0.006838137078072661
S1:k115_1113,0.031228876886539494
S1:k115_6113,0.0040820845607347075
S1:k115_6786,0.011585988093269389
S1:k115_2631,0.01763879064669346
S1:k115_1881,0.0028238657726156976
S1:k115_9359,0.01505148829343058
S1:k115_4916,0.0637336084452975
S1:k115_5215,0.014045087719298245
S1:k115_8106,0.012946922458818802
S1:k115_8535,0.01140822802291316
S1:k115_5702,0.025831596244131456
S1:k115_4418,0.015879045199418396
S1:k115_2389,0.005861436580238261
S1:k115_9775,0.2101010259966212
S1:k115_1132,0.01946220245969915
S1:k115_7738,0.02310240055718929
S1:k115_1541,0.004251435562805873
S1:k115_7382,0.03185674516502959
S1:k115_3648,0.00836570614331041
S1:k115_6161,0.013262408263266329
S1:k115_8144,0.053936868044515106
S1:k115_8943,0.060524097240520824
S1:k115_4442,0.003842679581998383
S1:k115_5716,0.006281263900878484
S1:k115_5272,0.010120466204830555
S1:k115_4083,0.015492081993414338
S1:k115_6176,0.018704362017804153
S1:k115_2657,0.002027436414727286
S1:k115_1191,0.007368594179022515
S1:k115_6474,0.008061576767116893
S1:k115_2437,0.023808247691214778
S1:k115_7434,0.05847822904083112
S1:k115_1999,0.04854942455523831
S1:k115_8149,0.009397031189168145
S1:k115_6178,0.025668700980392156
