,multi_output/samples/S2.bam_1_depth.txt_cov
S1:k115_8065_1,0.024518670520231215
S1:k115_8065_2,1e-05
S1:k115_9751_1,0.018145130797624778
S1:k115_9751_2,1e-05
S1:k115_7686_1,0.006839492111671902
S1:k115_7686_2,0.0088689277520912
S1:k115_6420_1,1e-05
S1:k115_6420_2,0.013981414806487876
S1:k115_7690_1,0.054244062797335874
S1:k115_7690_2,0.05374276271992392
S1:k115_3171_1,1e-05
S1:k115_3171_2,0.007391615598885793
S1:k115_2371_1,0.010885408344704958
S1:k115_2371_2,0.014565679609643138
S1:k115_5675_1,0.01656871291266193
S1:k115_5675_2,0.0032484434578218856
S1:k115_4035_1,0.0310431534309946
S1:k115_4035_2,0.053402444101773326
S1:k115_8094_1,1e-05
S1:k115_8094_2,0.013666274156145323
S1:k115_1113_1,0.008667013713322607
S1:k115_1113_2,0.053790740059756384
S1:k115_6113_1,1e-05
S1:k115_6113_2,0.008154169121469415
S1:k115_6786_1,1e-05
S1:k115_6786_2,0.023158148148148146
S1:k115_2631_1,1e-05
S1:k115_2631_2,0.035267581293386925
S1:k115_1881_1,0.005638068494791043
S1:k115_1881_2,1e-05
S1:k115_9359_1,0.01402632066297408
S1:k115_9359_2,0.01607663425152739
S1:k115_5215_1,0.007950904893813482
S1:k115_5215_2,0.02013927054478301
S1:k115_8106_1,0.025885924140147863
S1:k115_8106_2,1e-05
S1:k115_8535_1,0.00792659372507829
S1:k115_8535_2,0.014889794600482377
S1:k115_5702_1,0.0073694721482045426
S1:k115_5702_2,0.04429372034005837
S1:k115_4418_1,0.016801744840525327
S1:k115_4418_2,0.014956374409805821
S1:k115_2389_1,0.008209018920812893
S1:k115_2389_2,0.00351385423966363
S1:k115_9775_1,0.2165615154571587
S1:k115_9775_2,0.20364086232980333
S1:k115_1132_1,0.01686613484907879
S1:k115_1132_2,0.022058015678588925
S1:k115_7738_1,0.010535012382367509
S1:k115_7738_2,0.03566901071008482
S1:k115_1541_1,1e-05
S1:k115_1541_2,0.008492871125611746
S1:k115_7382_1,0.06059202672198158
S1:k115_7382_2,0.0031214636080776036
S1:k115_3648_1,0.011524385803709871
S1:k115_3648_2,0.005207117179200045
S1:k115_6161_1,0.014765832730107467
S1:k115_6161_2,0.01175898379642519
S1:k115_8144_1,0.10787059526837954
S1:k115_8144_2,1e-05
S1:k115_8943_1,0.0072608541106345854
S1:k115_8943_2,0.11378637245815842
S1:k115_4442_1,1e-05
S1:k115_4442_2,0.0076751296484819445
S1:k115_5716_1,0.00650977149240847
S1:k115_5716_2,0.006052756309348499
S1:k115_5272_1,1e-05
S1:k115_5272_2,0.020227147135904157
S1:k115_4083_1,0.024003837858655883
S1:k115_4083_2,0.0069806539320650075
S1:k115_2657_1,1e-05
S1:k115_2657_2,0.004044872829454572
S1:k115_1191_1,0.014728804920913883
S1:k115_1191_2,1e-05
S1:k115_6474_1,0.009520473189801038
S1:k115_6474_2,0.006602765460910151
S1:k115_2437_1,0.013507513615912858
S1:k115_2437_2,0.034108981766516694
S1:k115_7434_1,1e-05
S1:k115_7434_2,0.11691821256038647
S1:k115_1999_1,1e-05
S1:k115_1999_2,0.09706753184014053
S1:k115_8149_1,0.013074544038761031
S1:k115_8149_2,0.005719836491045938
S1:k115_6178_1,0.017013676470588233
S1:k115_6178_2,0.034323725490196084
S1:k115_3216_1,1e-05
S1:k115_3216_2,0.020016118078923218
S1:k115_8949_1,1e-05
S1:k115_8949_2,0.007610215227333871
S1:k115_9380_1,0.00834423530685139
S1:k115_9380_2,0.005069934518494466
S1:k115_6844_1,0.004772174726458416
S1:k115_6844_2,0.006983184420885537
S1:k115_5748_1,0.023830026466696075
S1:k115_5748_2,1e-05
S1:k115_2441_1,1e-05
S1:k115_2441_2,0.00856085508550855
S1:k115_5340_1,0.03059760397102227
S1:k115_5340_2,0.053389828326180264
S1:k115_7765_1,0.01060484299208578
S1:k115_7765_2,1e-05
S1:k115_6496_1,0.005241184610192373
S1:k115_6496_2,1e-05
S1:k115_3684_1,0.02582800937878708
S1:k115_3684_2,0.008651129669634858
S1:k115_8964_1,0.008808460269452846
S1:k115_8964_2,0.008698479516084684
S1:k115_2677_1,0.0062351135662610056
S1:k115_2677_2,0.0063472777746621046
S1:k115_4090_1,0.013544878340338564
S1:k115_4090_2,0.0056396753296830415
S1:k115_6515_1,0.04648256438969765
S1:k115_6515_2,1e-05
S1:k115_7788_1,1e-05
S1:k115_7788_2,0.01038472901827191
S1:k115_1226_1,0.011403514460999123
S1:k115_1226_2,0.00793404601058974
S1:k115_9004_1,1e-05
S1:k115_9004_2,0.009158831890214016
S1:k115_2026_1,0.0026324193010060556
S1:k115_2026_2,1e-05
S1:k115_9859_1,1e-05
S1:k115_9859_2,0.01519474776446769
S1:k115_1238_1,1e-05
S1:k115_1238_2,0.05195186323564451
S1:k115_2698_1,0.026813535785571715
S1:k115_2698_2,1e-05
S1:k115_7814_1,1e-05
S1:k115_7814_2,0.01473723501348268
S1:k115_9439_1,1e-05
S1:k115_9439_2,0.05424213380638622
S1:k115_6549_1,0.006165361319709467
S1:k115_6549_2,1e-05
S1:k115_6954_1,0.02179265396011852
S1:k115_6954_2,0.004654830623848802
S1:k115_8247_1,1e-05
S1:k115_8247_2,0.022714837117472853
S1:k115_1628_1,0.011873334387851946
S1:k115_1628_2,0.010950342182268737
S1:k115_9864_1,0.010988859477704742
S1:k115_9864_2,0.014755070172321904
S1:k115_3688_1,0.018941750741839763
S1:k115_3688_2,0.0022453662637732194
S1:k115_9047_1,1e-05
S1:k115_9047_2,0.003595018396804931
S1:k115_9463_1,0.01883443334613907
S1:k115_9463_2,0.0667739827904118
S1:k115_9052_1,0.07665175544601685
S1:k115_9052_2,1e-05
S1:k115_6971_1,0.02343125424099814
S1:k115_6971_2,0.02485132195228715
S1:k115_9481_1,1e-05
S1:k115_9481_2,0.036365859709153125
S1:k115_9876_1,0.002983930650468236
S1:k115_9876_2,0.01677684593483075
S1:k115_2821_1,0.013594696423620737
S1:k115_2821_2,1e-05
S1:k115_9891_1,1e-05
S1:k115_9891_2,0.010391643366955701
S1:k115_2837_1,0.013636798219891675
S1:k115_2837_2,0.02491771725256149
S1:k115_2853_1,0.028151199703776844
S1:k115_2853_2,1e-05
S2:k115_414_1,0.01023964509394572
S2:k115_414_2,0.04739050511375496
S2:k115_1250_1,0.015987443609022555
S2:k115_1250_2,1e-05
S2:k115_4957_1,1e-05
S2:k115_4957_2,0.00860518106242074
S2:k115_1663_1,0.012199812799303439
S2:k115_1663_2,1e-05
S2:k115_829_1,0.018603083846518237
S2:k115_829_2,0.009010473709142586
S2:k115_430_1,0.008220180623973727
S2:k115_430_2,0.024640541871921183
S2:k115_9510_1,1e-05
S2:k115_9510_2,0.018567130942452045
S2:k115_4148_1,0.007739861676159479
S2:k115_4148_2,0.015467627118644068
S2:k115_4580_1,1e-05
S2:k115_4580_2,0.040036684456304206
S2:k115_438_1,1e-05
S2:k115_438_2,0.5241280705543556
S2:k115_5431_1,1e-05
S2:k115_5431_2,0.05110816225907665
S2:k115_2939_1,0.011940373557598279
S2:k115_2939_2,1e-05
S2:k115_4157_1,0.03635609199099389
S2:k115_4157_2,0.019952103570279833
S2:k115_6202_1,0.008167071042397799
S2:k115_6202_2,0.0022863919188086885
S2:k115_459_1,0.03508692307692308
S2:k115_459_2,1e-05
S2:k115_2513_1,0.0059934742140754105
S2:k115_2513_2,1e-05
S2:k115_4987_1,0.010547018208706904
S2:k115_4987_2,1e-05
S2:k115_5461_1,1e-05
S2:k115_5461_2,0.010928544194107452
S2:k115_8345_1,1e-05
S2:k115_8345_2,0.36955503249767874
S2:k115_2127_1,0.022079641981363415
S2:k115_2127_2,1e-05
S2:k115_5821_1,0.015331180555555554
S2:k115_5821_2,0.010079007421552884
S2:k115_469_1,0.016248670694864048
S2:k115_469_2,0.028585025176233635
S2:k115_8349_1,0.033236581265012013
S2:k115_8349_2,1e-05
S2:k115_1325_1,1e-05
S2:k115_1325_2,0.021431509392507965
S2:k115_6240_1,0.012447215977038985
S2:k115_6240_2,1e-05
S2:k115_474_1,1e-05
S2:k115_474_2,0.012104933820173436
S2:k115_5014_1,0.12117202172886159
S2:k115_5014_2,1e-05
S2:k115_4187_1,0.0038343730234610576
S2:k115_4187_2,1e-05
S2:k115_7058_1,0.007568679220262564
S2:k115_7058_2,0.007303462405516509
S2:k115_3754_1,0.010445813815594425
S2:k115_3754_2,0.01317335606285206
S2:k115_1723_1,0.007173836951070993
S2:k115_1723_2,0.02006874346299878
S2:k115_9212_1,0.0416158394160584
S2:k115_9212_2,1e-05
S2:k115_888_1,1e-05
S2:k115_888_2,0.003020890454836643
S2:k115_4654_1,1e-05
S2:k115_4654_2,0.014135200642054575
S2:k115_2561_1,0.012363179424868368
S2:k115_2561_2,0.00021247013565499088
S2:k115_7564_1,0.013858254339769846
S2:k115_7564_2,0.010540421216848674
S2:k115_6263_1,0.015760727615134393
S2:k115_6263_2,0.019352690859294763
S2:k115_5496_1,0.027041041140650528
S2:k115_5496_2,0.5035371404173163
S2:k115_7065_1,0.17331632455548054
S2:k115_7065_2,1e-05
S2:k115_3035_1,1e-05
S2:k115_3035_2,0.052160045745654166
S2:k115_8749_1,0.00671066413662239
S2:k115_8749_2,0.015100871356992498
S2:k115_5035_1,0.016559295774647886
S2:k115_5035_2,1e-05
S2:k115_6271_1,1e-05
S2:k115_6271_2,0.017434975798644725
S2:k115_223_1,1e-05
S2:k115_223_2,0.014770147601476014
S2:k115_7927_1,0.00467472303206997
S2:k115_7927_2,1e-05
S2:k115_4676_1,0.006411215145926006
S2:k115_4676_2,0.012377107832501627
S2:k115_7608_1,0.37052635790303506
S2:k115_7608_2,0.2688314426487978
S2:k115_8440_1,1e-05
S2:k115_8440_2,0.6126168376068376
S2:k115_3786_1,0.005869543300301594
S2:k115_3786_2,1e-05
S2:k115_919_1,1e-05
S2:k115_919_2,0.010207578075207138
S2:k115_5073_1,1e-05
S2:k115_5073_2,0.025743634311512414
S2:k115_4257_1,1e-05
S2:k115_4257_2,0.01608898448519041
S2:k115_9656_1,0.5650744783118405
S2:k115_9656_2,1.3973726373626374
S2:k115_6692_1,0.01802014163315265
S2:k115_6692_2,0.034150584018185
S2:k115_9284_1,0.01917431039899466
S2:k115_9284_2,1e-05
S2:k115_5508_1,0.005281505877962306
S2:k115_5508_2,0.009992740122218593
S2:k115_8807_1,1e-05
S2:k115_8807_2,0.07301454250486697
S2:k115_2232_1,1e-05
S2:k115_2232_2,0.004409789860782768
S2:k115_7134_1,0.021647675010606705
S2:k115_7134_2,1e-05
S2:k115_8475_1,1e-05
S2:k115_8475_2,0.030458717948717948
S2:k115_583_1,1e-05
S2:k115_583_2,0.10038538762852946
S2:k115_4743_1,0.021713447018055807
S2:k115_4743_2,0.020801537479482036
S2:k115_1366_1,0.0068673832562053
S2:k115_1366_2,0.004763891459823306
S2:k115_9298_1,0.014683419036488767
S2:k115_9298_2,0.010268407998961173
S2:k115_6719_1,1e-05
S2:k115_6719_2,0.055055871559633034
S2:k115_6731_1,1e-05
S2:k115_6731_2,0.5211648033847684
S2:k115_3479_1,0.02186587141837846
S2:k115_3479_2,0.0042533345850544494
S2:k115_9691_1,0.013921430558775793
S2:k115_9691_2,1e-05
S2:k115_1747_1,0.013999516209809356
S2:k115_1747_2,0.009558611111111111
S2:k115_7953_1,0.010679362084456424
S2:k115_7953_2,1e-05
S2:k115_6343_1,0.01044969540653402
S2:k115_6343_2,0.014686983542127241
S2:k115_4771_1,0.01093536527576675
S2:k115_4771_2,0.024756610504146372
S2:k115_6356_1,0.017692468021068473
S2:k115_6356_2,1e-05
S2:k115_960_1,0.004349666901243256
S2:k115_960_2,0.0023556741858555847
S2:k115_6359_1,0.0230666534914361
S2:k115_6359_2,1e-05
S2:k115_3120_1,1e-05
S2:k115_3120_2,0.01575254667038172
S2:k115_2566_1,0.002520094947069737
S2:k115_2566_2,0.005451137493958622
S2:k115_6753_1,1e-05
S2:k115_6753_2,0.017446616895480507
S2:k115_8534_1,0.009824466254369453
S2:k115_8534_2,0.015202255982791072
S2:k115_9358_1,0.017874518793886823
S2:k115_9358_2,0.004656840148698885
S2:k115_4807_1,0.005924010290377905
S2:k115_4807_2,1e-05
S2:k115_9693_1,0.012999100729833134
S2:k115_9693_2,0.012291773462366973
S2:k115_1399_1,0.008492753075500523
S2:k115_1399_2,0.006764040363431695
S2:k115_3924_1,0.053518771929824564
S2:k115_3924_2,1e-05
S2:k115_1807_1,1e-05
S2:k115_1807_2,0.007680747897920046
S2:k115_1407_1,0.02853139104328246
S2:k115_1407_2,0.015767878939469734
S2:k115_2360_1,0.014470511679644048
S2:k115_2360_2,0.024698612099644128
S2:k115_4399_1,0.2814392015880018
S2:k115_4399_2,0.8248886943096603
S2:k115_3571_1,1e-05
S2:k115_3571_2,0.018451196938065413
S2:k115_682_1,0.015551357278535658
S2:k115_682_2,0.011061631842514246
S2:k115_1812_1,1e-05
S2:k115_1812_2,0.01366732529265697
S2:k115_7287_1,0.005765035656199174
S2:k115_7287_2,1e-05
S2:k115_8929_1,0.01812210516706226
S2:k115_8929_2,0.008043301686993354
S2:k115_2569_1,0.015635816566501176
S2:k115_2569_2,0.0030409364548494985
S2:k115_1076_1,0.021811491681009754
S2:k115_1076_2,1e-05
S2:k115_5203_1,0.04791165324289954
S2:k115_5203_2,1e-05
S2:k115_1821_1,0.057411812688821756
S2:k115_1821_2,1e-05
S2:k115_724_1,0.028460704225352112
S2:k115_724_2,1e-05
S2:k115_6076_1,0.005948473520249221
S2:k115_6076_2,1e-05
S2:k115_7686_1,0.008763044153460629
S2:k115_7686_2,0.00809244802880034
S2:k115_1105_1,0.16766873015873016
S2:k115_1105_2,1e-05
S2:k115_6420_1,1e-05
S2:k115_6420_2,0.012214914083828488
S2:k115_6776_1,0.0033966080446794604
S2:k115_6776_2,0.0187243536121673
S2:k115_7690_1,0.02332113225499524
S2:k115_7690_2,1e-05
S2:k115_2371_1,0.01208459785799942
S2:k115_2371_2,0.006130001654054501
S2:k115_5675_1,1e-05
S2:k115_5675_2,0.01040435884042831
S2:k115_4035_1,1e-05
S2:k115_4035_2,0.010996892829606784
S2:k115_3177_1,0.007889185817465528
S2:k115_3177_2,1e-05
S2:k115_1113_1,1e-05
S2:k115_1113_2,0.057927720064353025
S2:k115_9359_1,0.008846835651769481
S2:k115_9359_2,0.01000936579075323
S2:k115_797_1,0.022077838169186757
S2:k115_797_2,1e-05
S2:k115_5215_1,0.001641271160357033
S2:k115_5215_2,0.010074635272391505
S2:k115_8535_1,0.011097121433156328
S2:k115_8535_2,0.007693031198941881
S2:k115_5702_1,1e-05
S2:k115_5702_2,0.020692654485471387
S2:k115_4418_1,0.01958473420888055
S2:k115_4418_2,0.008046021387698946
S2:k115_6443_1,0.007820301153954405
S2:k115_6443_2,0.007398122713200112
S2:k115_2389_1,0.0043547792571829004
S2:k115_2389_2,0.003163468815697267
S2:k115_9775_1,0.19124505976095618
S2:k115_9775_2,0.15341393343419063
S2:k115_2637_1,0.022398059701492536
S2:k115_2637_2,0.0070170070070070065
S2:k115_1132_1,0.05342042728341827
S2:k115_1132_2,0.018824306712395884
S2:k115_7738_1,0.007006037642397226
S2:k115_7738_2,0.019387205472667614
S2:k115_1541_1,0.012897438825448613
S2:k115_1541_2,1e-05
S2:k115_7382_1,0.05900579037276554
S2:k115_7382_2,1e-05
S2:k115_3648_1,0.00549440820076954
S2:k115_3648_2,0.008193306055646481
S2:k115_2432_1,1e-05
S2:k115_2432_2,0.019656365422396856
S2:k115_6161_1,0.018774964641683836
S2:k115_6161_2,1e-05
S2:k115_8144_1,0.10952411854489952
S2:k115_8144_2,0.002172024672516851
S2:k115_8943_1,0.007079128443701388
S2:k115_8943_2,0.06866470933507786
S2:k115_4083_1,0.011140367802811477
S2:k115_4083_2,0.008598153739505506
S2:k115_2657_1,1e-05
S2:k115_2657_2,0.006638719648389653
S2:k115_1191_1,0.05712775043936731
S2:k115_1191_2,1e-05
S2:k115_6474_1,1e-05
S2:k115_6474_2,0.004619101516919486
S2:k115_2437_1,0.023926646933459625
S2:k115_2437_2,0.04642250295998106
S2:k115_7434_1,1e-05
S2:k115_7434_2,0.02319840579710145
S2:k115_6178_1,0.047038186274509806
S2:k115_6178_2,0.027123970588235295
S2:k115_4464_1,1e-05
S2:k115_4464_2,0.02921854271356784
S2:k115_3216_1,1e-05
S2:k115_3216_2,0.014632208626491281
S2:k115_8949_1,0.010906616667787717
S2:k115_8949_2,0.006197785848802798
S2:k115_9380_1,0.010698386188981491
S2:k115_9380_2,0.007532255594339367
S2:k115_6844_1,1e-05
S2:k115_6844_2,0.0027879352571007427
S2:k115_5748_1,0.03971004411116013
S2:k115_5748_2,1e-05
S2:k115_8633_1,1e-05
S2:k115_8633_2,0.015748498789346248
S2:k115_3220_1,0.025964764553207266
S2:k115_3220_2,1e-05
S2:k115_2441_1,0.0037603750375037504
S2:k115_2441_2,1e-05
S2:k115_7765_1,1e-05
S2:k115_7765_2,0.007285512157763737
S2:k115_9397_1,1e-05
S2:k115_9397_2,0.010795305021907651
S2:k115_3684_1,0.02335158807102587
S2:k115_3684_2,0.01913640286632594
S2:k115_2677_1,0.003318844147832427
S2:k115_2677_2,0.0062351135662610056
S2:k115_4090_1,1e-05
S2:k115_4090_2,0.013351559342947482
S2:k115_6515_1,0.03192489361702128
S2:k115_6515_2,0.028285475923852183
S2:k115_7788_1,0.011313809228863424
S2:k115_7788_2,0.013326816351811707
S2:k115_9858_1,0.0281119656019656
S2:k115_9858_2,0.008302383292383291
S2:k115_6518_1,0.04197063869290754
S2:k115_6518_2,1e-05
S2:k115_1226_1,0.008007370727432076
S2:k115_1226_2,0.008335725762278619
S2:k115_9004_1,0.039879281045751634
S2:k115_9004_2,1e-05
S2:k115_2026_1,0.010022873694750392
S2:k115_2026_2,0.013741286354534185
S2:k115_9859_1,1e-05
S2:k115_9859_2,0.016375783701704064
S2:k115_3286_1,1e-05
S2:k115_3286_2,0.028478142792589246
S2:k115_6924_1,0.030200677966101694
S2:k115_6924_2,1e-05
S2:k115_1238_1,0.004538122020972354
S2:k115_1238_2,0.015735518227305217
S2:k115_9433_1,0.026864219948849105
S2:k115_9433_2,1e-05
S2:k115_2047_1,0.013225859030837004
S2:k115_2047_2,1e-05
S2:k115_6549_1,0.009489256432352579
S2:k115_6549_2,1e-05
S2:k115_8235_1,0.007314020827306913
S2:k115_8235_2,1e-05
S2:k115_9451_1,0.010529501537465609
S2:k115_9451_2,1e-05
S2:k115_6954_1,0.022193070393208936
S2:k115_6954_2,0.0063365796428285414
S2:k115_8247_1,0.02814425468904245
S2:k115_8247_2,0.017779002961500492
S2:k115_1628_1,0.008947045238848466
S2:k115_1628_2,0.014693784567526956
S2:k115_6963_1,1e-05
S2:k115_6963_2,0.021643931113008823
S2:k115_9864_1,0.008217496891099662
S2:k115_9864_2,0.010029541659264523
S2:k115_3688_1,0.013996152324431256
S2:k115_3688_2,0.0039268364621867025
S2:k115_9047_1,0.0034064400276746965
S2:k115_9047_2,0.0066139812572722405
S2:k115_9463_1,0.054792942758355744
S2:k115_9463_2,0.09166642286416718
S2:k115_3693_1,0.029363431178103926
S2:k115_3693_2,1e-05
S2:k115_9052_1,0.11131545396724439
S2:k115_9052_2,0.00970947527428844
S2:k115_6971_1,0.05692145890335997
S2:k115_6971_2,0.05844729481286934
S2:k115_9481_1,0.04536729567821994
S2:k115_9481_2,0.027383823781009408
S2:k115_9876_1,0.01880271070615034
S2:k115_9876_2,0.0016550490351154698
S2:k115_9878_1,0.03150171270718232
S2:k115_9878_2,0.031493015741507875
S2:k115_2821_1,1e-05
S2:k115_2821_2,0.031606452328159645
S2:k115_9891_1,1e-05
S2:k115_9891_2,0.012220228278180853
S2:k115_2837_1,0.005426221064615172
S2:k115_2837_2,0.007082135785007071
S2:k115_2853_1,1e-05
S2:k115_2853_2,0.022720441866205875
S3:k115_414_1,0.01023964509394572
S3:k115_414_2,1e-05
S3:k115_7861_1,0.02966641952983725
S3:k115_7861_2,1e-05
S3:k115_2481_1,0.046821647622558055
S3:k115_2481_2,0.010330678215997051
S3:k115_2916_1,0.049789735682819386
S3:k115_2916_2,1e-05
S3:k115_9096_1,0.006696009839788066
S3:k115_9096_2,0.023471150353178608
S3:k115_829_1,0.020734774988157272
S3:k115_829_2,0.008892046423495973
S3:k115_3739_1,1e-05
S3:k115_3739_2,0.008741082654249126
S3:k115_9510_1,0.02482234361968307
S3:k115_9510_2,0.037541276063386156
S3:k115_4580_1,0.01046141205247943
S3:k115_4580_2,0.02157993551256393
S3:k115_438_1,1e-05
S3:k115_438_2,0.36394088552915765
S3:k115_9524_1,1e-05
S3:k115_9524_2,0.08334333333333332
S3:k115_8308_1,0.011291906642222535
S3:k115_8308_2,0.016086716965167114
S3:k115_2939_1,1e-05
S3:k115_2939_2,0.022301748142354322
S3:k115_4157_1,1e-05
S3:k115_4157_2,0.0366777388227726
S3:k115_9525_1,0.04049728054460767
