,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_414_1,0.000102396450939457,0.000102396450939457,0.000102396450939457,0.000102396450939457,0.000102396450939457
k115_414_2,0.000473905051137549,0.000473905051137549,0.000473905051137549,0.000473905051137549,0.000473905051137549
k115_1250_1,0.000159874436090225,0.000159874436090225,0.000159874436090225,0.000159874436090225,0.000159874436090225
k115_1250_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4957_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4957_2,8.605181062420701e-05,8.605181062420701e-05,8.605181062420701e-05,8.605181062420701e-05,8.605181062420701e-05
k115_1663_1,0.000121998127993034,0.000121998127993034,0.000121998127993034,0.000121998127993034,0.000121998127993034
k115_1663_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_829_1,0.00018603083846518198,0.00018603083846518198,0.00018603083846518198,0.00018603083846518198,0.00018603083846518198
k115_829_2,9.0104737091425e-05,9.0104737091425e-05,9.0104737091425e-05,9.0104737091425e-05,9.0104737091425e-05
k115_430_1,8.2201806239737e-05,8.2201806239737e-05,8.2201806239737e-05,8.2201806239737e-05,8.2201806239737e-05
k115_430_2,0.000246405418719211,0.000246405418719211,0.000246405418719211,0.000246405418719211,0.000246405418719211
k115_9510_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9510_2,0.00018567130942452,0.00018567130942452,0.00018567130942452,0.00018567130942452,0.00018567130942452
k115_4148_1,7.7398616761594e-05,7.7398616761594e-05,7.7398616761594e-05,7.7398616761594e-05,7.7398616761594e-05
k115_4148_2,0.00015467627118644,0.00015467627118644,0.00015467627118644,0.00015467627118644,0.00015467627118644
k115_4580_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4580_2,0.000400366844563042,0.000400366844563042,0.000400366844563042,0.000400366844563042,0.000400366844563042
