,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_3924,0.000267643859649122,0.000267643859649122,0.000267643859649122,0.000267643859649122,0.000267643859649122
k115_8040,0.0003955802259887,0.0003955802259887,0.0003955802259887,0.0003955802259887,0.0003955802259887
k115_1807,3.8456568562366003e-05,3.8456568562366003e-05,3.8456568562366003e-05,3.8456568562366003e-05,3.8456568562366003e-05
k115_1407,0.000221488367729831,0.000221488367729831,0.000221488367729831,0.000221488367729831,0.000221488367729831
k115_2360,0.00019585130686241702,0.00019585130686241702,0.00019585130686241702,0.00019585130686241702,0.00019585130686241702
k115_4399,0.005531639479488311,0.005531639479488311,0.005531639479488311,0.005531639479488311,0.005531639479488311
k115_3571,9.230598469032699e-05,9.230598469032699e-05,9.230598469032699e-05,9.230598469032699e-05,9.230598469032699e-05
k115_682,0.00013306494560524898,0.00013306494560524898,0.00013306494560524898,0.00013306494560524898,0.00013306494560524898
k115_1812,6.8386626463284e-05,6.8386626463284e-05,6.8386626463284e-05,6.8386626463284e-05,6.8386626463284e-05
k115_7287,2.8875178280995e-05,2.8875178280995e-05,2.8875178280995e-05,2.8875178280995e-05,2.8875178280995e-05
k115_8929,0.000130826114184513,0.000130826114184513,0.000130826114184513,0.000130826114184513,0.000130826114184513
k115_2569,9.33821196206e-05,9.33821196206e-05,9.33821196206e-05,9.33821196206e-05,9.33821196206e-05
k115_1076,0.00010910745840504801,0.00010910745840504801,0.00010910745840504801,0.00010910745840504801,0.00010910745840504801
k115_5203,0.000239557512184784,0.000239557512184784,0.000239557512184784,0.000239557512184784,0.000239557512184784
k115_1821,0.00028703682355902296,0.00028703682355902296,0.00028703682355902296,0.00028703682355902296,0.00028703682355902296
k115_724,0.000142333488241092,0.000142333488241092,0.000142333488241092,0.000142333488241092,0.000142333488241092
k115_6076,2.9790922365539003e-05,2.9790922365539003e-05,2.9790922365539003e-05,2.9790922365539003e-05,2.9790922365539003e-05
k115_7686,8.4277460911304e-05,8.4277460911304e-05,8.4277460911304e-05,8.4277460911304e-05,8.4277460911304e-05
k115_1105,0.000838185792214232,0.000838185792214232,0.000838185792214232,0.000838185792214232,0.000838185792214232
k115_6420,6.1129470810246e-05,6.1129470810246e-05,6.1129470810246e-05,6.1129470810246e-05,6.1129470810246e-05
k115_6776,0.00011060708493004101,0.00011060708493004101,0.00011060708493004101,0.00011060708493004101,0.00011060708493004101
k115_7690,0.000116627942925089,0.000116627942925089,0.000116627942925089,0.000116627942925089,0.000116627942925089
k115_769,0.000372069445366987,0.000372069445366987,0.000372069445366987,0.000372069445366987,0.000372069445366987
k115_2371,9.1072997560269e-05,9.1072997560269e-05,9.1072997560269e-05,9.1072997560269e-05,9.1072997560269e-05
k115_5675,5.2073151557888e-05,5.2073151557888e-05,5.2073151557888e-05,5.2073151557888e-05,5.2073151557888e-05
k115_4035,5.5034464148033e-05,5.5034464148033e-05,5.5034464148033e-05,5.5034464148033e-05,5.5034464148033e-05
k115_3177,3.9495929087327005e-05,3.9495929087327005e-05,3.9495929087327005e-05,3.9495929087327005e-05,3.9495929087327005e-05
k115_1113,0.000289688600321765,0.000289688600321765,0.000289688600321765,0.000289688600321765,0.000289688600321765
k115_9359,9.4281068653876e-05,9.4281068653876e-05,9.4281068653876e-05,9.4281068653876e-05,9.4281068653876e-05
k115_4916,0.000334073128598848,0.000334073128598848,0.000334073128598848,0.000334073128598848,0.000334073128598848
k115_797,0.000110439190845933,0.000110439190845933,0.000110439190845933,0.000110439190845933,0.000110439190845933
k115_5215,5.8579532163742e-05,5.8579532163742e-05,5.8579532163742e-05,5.8579532163742e-05,5.8579532163742e-05
k115_8535,9.395059762893501e-05,9.395059762893501e-05,9.395059762893501e-05,9.395059762893501e-05,9.395059762893501e-05
k115_5702,0.00010351327242735599,0.00010351327242735599,0.00010351327242735599,0.00010351327242735599,0.00010351327242735599
k115_4418,0.00013815287597129499,0.00013815287597129499,0.00013815287597129499,0.00013815287597129499,0.00013815287597129499
k115_6443,7.609211933577201e-05,7.609211933577201e-05,7.609211933577201e-05,7.609211933577201e-05,7.609211933577201e-05
k115_2389,3.75912403644e-05,3.75912403644e-05,3.75912403644e-05,3.75912403644e-05,3.75912403644e-05
k115_9775,0.001723290196424519,0.001723290196424519,0.001723290196424519,0.001723290196424519,0.001723290196424519
k115_2637,0.000147071834190289,0.000147071834190289,0.000147071834190289,0.000147071834190289,0.000147071834190289
k115_1132,0.000361215194277034,0.000361215194277034,0.000361215194277034,0.000361215194277034,0.000361215194277034
k115_7738,0.000131968131868131,0.000131968131868131,0.000131968131868131,0.000131968131868131,0.000131968131868131
k115_1541,6.4537194127243e-05,6.4537194127243e-05,6.4537194127243e-05,6.4537194127243e-05,6.4537194127243e-05
k115_7382,0.000295078951863827,0.000295078951863827,0.000295078951863827,0.000295078951863827,0.000295078951863827
k115_3648,6.8438765020889e-05,6.8438765020889e-05,6.8438765020889e-05,6.8438765020889e-05,6.8438765020889e-05
k115_2432,9.8340600160757e-05,9.8340600160757e-05,9.8340600160757e-05,9.8340600160757e-05,9.8340600160757e-05
k115_6161,9.392482320841901e-05,9.392482320841901e-05,9.392482320841901e-05,9.392482320841901e-05,9.392482320841901e-05
k115_8144,0.000558446581875993,0.000558446581875993,0.000558446581875993,0.000558446581875993,0.000558446581875993
k115_8943,0.000378721986788664,0.000378721986788664,0.000378721986788664,0.000378721986788664,0.000378721986788664
k115_4083,9.869236294313599e-05,9.869236294313599e-05,9.869236294313599e-05,9.869236294313599e-05,9.869236294313599e-05
k115_2657,3.3243598241948e-05,3.3243598241948e-05,3.3243598241948e-05,3.3243598241948e-05,3.3243598241948e-05
k115_1191,0.000285657386051619,0.000285657386051619,0.000285657386051619,0.000285657386051619,0.000285657386051619
k115_6474,2.3146179876892002e-05,2.3146179876892002e-05,2.3146179876892002e-05,2.3146179876892002e-05,2.3146179876892002e-05
k115_2437,0.000351745749467203,0.000351745749467203,0.000351745749467203,0.000351745749467203,0.000351745749467203
k115_7434,0.00011607004107272201,0.00011607004107272201,0.00011607004107272201,0.00011607004107272201,0.00011607004107272201
k115_6178,0.000370810784313725,0.000370810784313725,0.000370810784313725,0.000370810784313725,0.000370810784313725
k115_4464,0.000146165651013035,0.000146165651013035,0.000146165651013035,0.000146165651013035,0.000146165651013035
k115_3216,7.321216139739e-05,7.321216139739e-05,7.321216139739e-05,7.321216139739e-05,7.321216139739e-05
k115_8949,8.5521220783588e-05,8.5521220783588e-05,8.5521220783588e-05,8.5521220783588e-05,8.5521220783588e-05
k115_9380,9.1152994737055e-05,9.1152994737055e-05,9.1152994737055e-05,9.1152994737055e-05,9.1152994737055e-05
k115_6844,1.3989676285503e-05,1.3989676285503e-05,1.3989676285503e-05,1.3989676285503e-05,1.3989676285503e-05
k115_5748,0.0001986002205558,0.0001986002205558,0.0001986002205558,0.0001986002205558,0.0001986002205558
k115_8633,7.8792493946731e-05,7.8792493946731e-05,7.8792493946731e-05,7.8792493946731e-05,7.8792493946731e-05
k115_3220,0.000129873822766036,0.000129873822766036,0.000129873822766036,0.000129873822766036,0.000129873822766036
k115_2441,1.8851875187518e-05,1.8851875187518e-05,1.8851875187518e-05,1.8851875187518e-05,1.8851875187518e-05
k115_7765,3.6478721638957e-05,3.6478721638957e-05,3.6478721638957e-05,3.6478721638957e-05,3.6478721638957e-05
k115_9397,5.4026525109538e-05,5.4026525109538e-05,5.4026525109538e-05,5.4026525109538e-05,5.4026525109538e-05
k115_3684,0.00021243995468675899,0.00021243995468675899,0.00021243995468675899,0.00021243995468675899,0.00021243995468675899
k115_2677,4.7769788570467005e-05,4.7769788570467005e-05,4.7769788570467005e-05,4.7769788570467005e-05,4.7769788570467005e-05
k115_4090,6.6809082846511e-05,6.6809082846511e-05,6.6809082846511e-05,6.6809082846511e-05,6.6809082846511e-05
k115_6515,0.00030105184770436703,0.00030105184770436703,0.00030105184770436703,0.00030105184770436703,0.00030105184770436703
k115_7788,0.000123203127903375,0.000123203127903375,0.000123203127903375,0.000123203127903375,0.000123203127903375
k115_9858,0.000182071744471744,0.000182071744471744,0.000182071744471744,0.000182071744471744,0.000182071744471744
k115_6518,0.000209864247261926,0.000209864247261926,0.000209864247261926,0.000209864247261926,0.000209864247261926
k115_1226,8.171551242491099e-05,8.171551242491099e-05,8.171551242491099e-05,8.171551242491099e-05,8.171551242491099e-05
k115_3282,0.041296451231088695,0.041296451231088695,0.041296451231088695,0.041296451231088695,0.041296451231088695
k115_9004,0.000199430120088228,0.000199430120088228,0.000199430120088228,0.000199430120088228,0.000199430120088228
k115_2026,0.000118821243473907,0.000118821243473907,0.000118821243473907,0.000118821243473907,0.000118821243473907
k115_9859,8.193582215472801e-05,8.193582215472801e-05,8.193582215472801e-05,8.193582215472801e-05,8.193582215472801e-05
k115_3286,0.000142472881355932,0.000142472881355932,0.000142472881355932,0.000142472881355932,0.000142472881355932
k115_6924,0.000151053389830508,0.000151053389830508,0.000151053389830508,0.000151053389830508,0.000151053389830508
k115_1238,0.000101374871917073,0.000101374871917073,0.000101374871917073,0.000101374871917073,0.000101374871917073
k115_9433,0.000134349640402748,0.000134349640402748,0.000134349640402748,0.000134349640402748,0.000134349640402748
k115_2047,6.617236497115801e-05,6.617236497115801e-05,6.617236497115801e-05,6.617236497115801e-05,6.617236497115801e-05
k115_6549,4.7493364928909e-05,4.7493364928909e-05,4.7493364928909e-05,4.7493364928909e-05,4.7493364928909e-05
k115_8235,3.6618783671403e-05,3.6618783671403e-05,3.6618783671403e-05,3.6618783671403e-05,3.6618783671403e-05
k115_9451,5.2697507687327996e-05,5.2697507687327996e-05,5.2697507687327996e-05,5.2697507687327996e-05,5.2697507687327996e-05
k115_6954,0.000142648250180187,0.000142648250180187,0.000142648250180187,0.000142648250180187,0.000142648250180187
k115_8247,0.00022961628825271402,0.00022961628825271402,0.00022961628825271402,0.00022961628825271402,0.00022961628825271402
k115_1628,0.000118204527779608,0.000118204527779608,0.000118204527779608,0.000118204527779608,0.000118204527779608
k115_6963,0.00010826965556504401,0.00010826965556504401,0.00010826965556504401,0.00010826965556504401,0.00010826965556504401
k115_9864,9.123519275182e-05,9.123519275182e-05,9.123519275182e-05,9.123519275182e-05,9.123519275182e-05
k115_3688,8.9614445950089e-05,8.9614445950089e-05,8.9614445950089e-05,8.9614445950089e-05,8.9614445950089e-05
k115_9047,5.010235860182e-05,5.010235860182e-05,5.010235860182e-05,5.010235860182e-05,5.010235860182e-05
k115_9463,0.000732303910721831,0.000732303910721831,0.000732303910721831,0.000732303910721831,0.000732303910721831
k115_3693,0.00014683805274638099,0.00014683805274638099,0.00014683805274638099,0.00014683805274638099,0.00014683805274638099
k115_9052,0.000605124646207664,0.000605124646207664,0.000605124646207664,0.000605124646207664,0.000605124646207664
k115_6971,0.0005768441860465111,0.0005768441860465111,0.0005768441860465111,0.0005768441860465111,0.0005768441860465111
k115_9481,0.000363736363636363,0.000363736363636363,0.000363736363636363,0.000363736363636363,0.000363736363636363
k115_9876,0.00010228608624126,0.00010228608624126,0.00010228608624126,0.00010228608624126,0.00010228608624126
k115_9878,0.00031497363623808795,0.00031497363623808795,0.00031497363623808795,0.00031497363623808795,0.00031497363623808795
k115_7000,0.01866635879473845,0.01866635879473845,0.01866635879473845,0.01866635879473845,0.01866635879473845
k115_2821,0.00015810415800415802,0.00015810415800415802,0.00015810415800415802,0.00015810415800415802,0.00015810415800415802
k115_9891,6.1152942043946e-05,6.1152942043946e-05,6.1152942043946e-05,6.1152942043946e-05,6.1152942043946e-05
k115_2837,6.2541784248111e-05,6.2541784248111e-05,6.2541784248111e-05,6.2541784248111e-05,6.2541784248111e-05
k115_2853,0.000113652209331029,0.000113652209331029,0.000113652209331029,0.000113652209331029,0.000113652209331029
k115_1656,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6198,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_828,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1658,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2074,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9501,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7445,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4141,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4562,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7861,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5802,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2481,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9509,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7447,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2916,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9096,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1665,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
