,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_8505_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8505_2,5.0460422632566e-05,5.0460422632566e-05,5.0460422632566e-05,5.0460422632566e-05,5.0460422632566e-05
k115_5992_1,0.000191528087413179,0.000191528087413179,0.000191528087413179,0.000191528087413179,0.000191528087413179
k115_5992_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1777_1,6.9512309116149e-05,6.9512309116149e-05,6.9512309116149e-05,6.9512309116149e-05,6.9512309116149e-05
k115_1777_2,0.000204866311892642,0.000204866311892642,0.000204866311892642,0.000204866311892642,0.000204866311892642
k115_5172_1,0.000166434661354581,0.000166434661354581,0.000166434661354581,0.000166434661354581,0.000166434661354581
k115_5172_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5587_1,0.00018904932722588,0.00018904932722588,0.00018904932722588,0.00018904932722588,0.00018904932722588
k115_5587_2,0.00032074128256512997,0.00032074128256512997,0.00032074128256512997,0.00032074128256512997,0.00032074128256512997
k115_8515_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8515_2,0.00054581565342269,0.00054581565342269,0.00054581565342269,0.00054581565342269,0.00054581565342269
k115_3485_1,0.000126967627785058,0.000126967627785058,0.000126967627785058,0.000126967627785058,0.000126967627785058
k115_3485_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6359_1,0.000125264690382081,0.000125264690382081,0.000125264690382081,0.000125264690382081,0.000125264690382081
k115_6359_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2566_1,8.990215462808499e-05,8.990215462808499e-05,8.990215462808499e-05,8.990215462808499e-05,8.990215462808499e-05
k115_2566_2,4.2974292574171994e-05,4.2974292574171994e-05,4.2974292574171994e-05,4.2974292574171994e-05,4.2974292574171994e-05
k115_6753_1,8.2272562381e-05,8.2272562381e-05,8.2272562381e-05,8.2272562381e-05,8.2272562381e-05
k115_6753_2,0.000161438811504158,0.000161438811504158,0.000161438811504158,0.000161438811504158,0.000161438811504158
k115_7245_1,0.000231536837029893,0.000231536837029893,0.000231536837029893,0.000231536837029893,0.000231536837029893
