,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_8675,0.000254806533776301,0.000254806533776301,0.000254806533776301,0.000254806533776301,0.000254806533776301
k115_414,6.1680210833942e-05,6.1680210833942e-05,6.1680210833942e-05,6.1680210833942e-05,6.1680210833942e-05
k115_2481,0.00017610442314780603,0.00017610442314780603,0.00017610442314780603,0.00017610442314780603,0.00017610442314780603
k115_1663,7.8463082281236e-05,7.8463082281236e-05,7.8463082281236e-05,7.8463082281236e-05,7.8463082281236e-05
k115_2916,0.000248943866989649,0.000248943866989649,0.000248943866989649,0.000248943866989649,0.000248943866989649
k115_9096,0.000101645253863134,0.000101645253863134,0.000101645253863134,0.000101645253863134,0.000101645253863134
k115_829,6.7011416390336e-05,6.7011416390336e-05,6.7011416390336e-05,6.7011416390336e-05,6.7011416390336e-05
k115_3739,7.213143189755501e-05,7.213143189755501e-05,7.213143189755501e-05,7.213143189755501e-05,7.213143189755501e-05
k115_430,8.2201806239737e-05,8.2201806239737e-05,8.2201806239737e-05,8.2201806239737e-05,8.2201806239737e-05
k115_4974,0.000189006752411575,0.000189006752411575,0.000189006752411575,0.000189006752411575,0.000189006752411575
k115_4148,8.146144823377799e-05,8.146144823377799e-05,8.146144823377799e-05,8.146144823377799e-05,8.146144823377799e-05
k115_9518,0.0053563176165803104,0.0053563176165803104,0.0053563176165803104,0.0053563176165803104,0.0053563176165803104
k115_438,0.0037078033837293018,0.0037078033837293018,0.0037078033837293018,0.0037078033837293018,0.0037078033837293018
k115_4583,0.000197091404011461,0.000197091404011461,0.000197091404011461,0.000197091404011461,0.000197091404011461
k115_8308,7.4137512339585e-05,7.4137512339585e-05,7.4137512339585e-05,7.4137512339585e-05,7.4137512339585e-05
k115_2939,0.00018979394739415198,0.00018979394739415198,0.00018979394739415198,0.00018979394739415198,0.00018979394739415198
k115_4157,0.00018183045995496898,0.00018183045995496898,0.00018183045995496898,0.00018183045995496898,0.00018183045995496898
k115_1298,0.000241984150222788,0.000241984150222788,0.000241984150222788,0.000241984150222788,0.000241984150222788
k115_6632,0.000138484946418023,0.000138484946418023,0.000138484946418023,0.000138484946418023,0.000138484946418023
k115_6202,4.989607322394e-05,4.989607322394e-05,4.989607322394e-05,4.989607322394e-05,4.989607322394e-05
k115_1697,0.000126498210290827,0.000126498210290827,0.000126498210290827,0.000126498210290827,0.000126498210290827
k115_459,0.00024625384615384603,0.00024625384615384603,0.00024625384615384603,0.00024625384615384603,0.00024625384615384603
k115_2513,7.5605746034761e-05,7.5605746034761e-05,7.5605746034761e-05,7.5605746034761e-05,7.5605746034761e-05
k115_4987,3.6608156569157005e-05,3.6608156569157005e-05,3.6608156569157005e-05,3.6608156569157005e-05,3.6608156569157005e-05
k115_8345,0.002154231847725162,0.002154231847725162,0.002154231847725162,0.002154231847725162,0.002154231847725162
k115_2127,0.00028210098087297597,0.00028210098087297597,0.00028210098087297597,0.00028210098087297597,0.00028210098087297597
k115_141,0.00012061349227141701,0.00012061349227141701,0.00012061349227141701,0.00012061349227141701,0.00012061349227141701
k115_4607,5.6604657219794e-05,5.6604657219794e-05,5.6604657219794e-05,5.6604657219794e-05,5.6604657219794e-05
k115_5821,0.000205173674616436,0.000205173674616436,0.000205173674616436,0.000205173674616436,0.000205173674616436
k115_6233,0.003204439963833634,0.003204439963833634,0.003204439963833634,0.003204439963833634,0.003204439963833634
k115_8349,0.000292333787029623,0.000292333787029623,0.000292333787029623,0.000292333787029623,0.000292333787029623
k115_7912,0.000184583194339145,0.000184583194339145,0.000184583194339145,0.000184583194339145,0.000184583194339145
k115_1325,0.000134129112881076,0.000134129112881076,0.000134129112881076,0.000134129112881076,0.000134129112881076
k115_5014,0.000529741001417099,0.000529741001417099,0.000529741001417099,0.000529741001417099,0.000529741001417099
k115_7058,5.6127052115104e-05,5.6127052115104e-05,5.6127052115104e-05,5.6127052115104e-05,5.6127052115104e-05
k115_3754,3.2267210198636e-05,3.2267210198636e-05,3.2267210198636e-05,3.2267210198636e-05,3.2267210198636e-05
k115_9590,5.8133179839776996e-05,5.8133179839776996e-05,5.8133179839776996e-05,5.8133179839776996e-05,5.8133179839776996e-05
k115_888,6.9927033952594e-05,6.9927033952594e-05,6.9927033952594e-05,6.9927033952594e-05,6.9927033952594e-05
k115_2561,0.000115519661840639,0.000115519661840639,0.000115519661840639,0.000115519661840639,0.000115519661840639
k115_7564,0.000320919112627986,0.000320919112627986,0.000320919112627986,0.000320919112627986,0.000320919112627986
k115_6263,9.6821732431738e-05,9.6821732431738e-05,9.6821732431738e-05,9.6821732431738e-05,9.6821732431738e-05
k115_5496,0.00204480352355846,0.00204480352355846,0.00204480352355846,0.00204480352355846,0.00204480352355846
k115_9606,0.000198775496688741,0.000198775496688741,0.000198775496688741,0.000198775496688741,0.000198775496688741
k115_7065,0.0007416325756723301,0.0007416325756723301,0.0007416325756723301,0.0007416325756723301,0.0007416325756723301
k115_8749,0.000139892756867337,0.000139892756867337,0.000139892756867337,0.000139892756867337,0.000139892756867337
k115_505,0.00010565601014646901,0.00010565601014646901,0.00010565601014646901,0.00010565601014646901,0.00010565601014646901
k115_6271,6.4959632139399e-05,6.4959632139399e-05,6.4959632139399e-05,6.4959632139399e-05,6.4959632139399e-05
k115_223,0.000389028317955997,0.000389028317955997,0.000389028317955997,0.000389028317955997,0.000389028317955997
k115_3043,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4676,8.797632221318101e-05,8.797632221318101e-05,8.797632221318101e-05,8.797632221318101e-05,8.797632221318101e-05
k115_7091,0.00019397468389997102,0.00019397468389997102,0.00019397468389997102,0.00019397468389997102,0.00019397468389997102
k115_3047,0.01406312286670385,0.01406312286670385,0.01406312286670385,0.01406312286670385,0.01406312286670385
k115_7608,0.003634313638155301,0.003634313638155301,0.003634313638155301,0.003634313638155301,0.003634313638155301
k115_8440,0.003393262393162393,0.003393262393162393,0.003393262393162393,0.003393262393162393,0.003393262393162393
k115_3786,3.0259414045669e-05,3.0259414045669e-05,3.0259414045669e-05,3.0259414045669e-05,3.0259414045669e-05
k115_919,4.5514707991395e-05,4.5514707991395e-05,4.5514707991395e-05,4.5514707991395e-05,4.5514707991395e-05
k115_9277,0.000350487596899224,0.000350487596899224,0.000350487596899224,0.000350487596899224,0.000350487596899224
k115_5073,9.4908126410835e-05,9.4908126410835e-05,9.4908126410835e-05,9.4908126410835e-05,9.4908126410835e-05
k115_930,0.001356801030927835,0.001356801030927835,0.001356801030927835,0.001356801030927835,0.001356801030927835
k115_9656,0.011326204476518428,0.011326204476518428,0.011326204476518428,0.011326204476518428,0.011326204476518428
k115_6692,0.000141733152649064,0.000141733152649064,0.000141733152649064,0.000141733152649064,0.000141733152649064
k115_268,0.001117440808970764,0.001117440808970764,0.001117440808970764,0.001117440808970764,0.001117440808970764
k115_4716,0.000421804511943379,0.000421804511943379,0.000421804511943379,0.000421804511943379,0.000421804511943379
k115_5508,8.1269967112168e-05,8.1269967112168e-05,8.1269967112168e-05,8.1269967112168e-05,8.1269967112168e-05
k115_3069,0.000293153545586107,0.000293153545586107,0.000293153545586107,0.000293153545586107,0.000293153545586107
k115_8807,7.9606733733571e-05,7.9606733733571e-05,7.9606733733571e-05,7.9606733733571e-05,7.9606733733571e-05
k115_8475,0.000234074358974358,0.000234074358974358,0.000234074358974358,0.000234074358974358,0.000234074358974358
k115_287,0.000188138652389657,0.000188138652389657,0.000188138652389657,0.000188138652389657,0.000188138652389657
k115_583,0.00018616169414068797,0.00018616169414068797,0.00018616169414068797,0.00018616169414068797,0.00018616169414068797
k115_4743,5.3902662775852e-05,5.3902662775852e-05,5.3902662775852e-05,5.3902662775852e-05,5.3902662775852e-05
k115_1366,5.7104627681951995e-05,5.7104627681951995e-05,5.7104627681951995e-05,5.7104627681951995e-05,5.7104627681951995e-05
k115_588,0.00010644762379527999,0.00010644762379527999,0.00010644762379527999,0.00010644762379527999,0.00010644762379527999
k115_6731,0.002444710405775454,0.002444710405775454,0.002444710405775454,0.002444710405775454,0.002444710405775454
k115_7672,0.00026903594907106603,0.00026903594907106603,0.00026903594907106603,0.00026903594907106603,0.00026903594907106603
k115_3479,0.000166644621566308,0.000166644621566308,0.000166644621566308,0.000166644621566308,0.000166644621566308
k115_7165,0.00011614025467241701,0.00011614025467241701,0.00011614025467241701,0.00011614025467241701,0.00011614025467241701
k115_3846,7.5017158910819e-05,7.5017158910819e-05,7.5017158910819e-05,7.5017158910819e-05,7.5017158910819e-05
k115_1747,0.000172879326577967,0.000172879326577967,0.000172879326577967,0.000172879326577967,0.000172879326577967
k115_7953,3.3229316637654996e-05,3.3229316637654996e-05,3.3229316637654996e-05,3.3229316637654996e-05,3.3229316637654996e-05
k115_6343,8.484576271186401e-05,8.484576271186401e-05,8.484576271186401e-05,8.484576271186401e-05,8.484576271186401e-05
k115_8501,0.000140442238089375,0.000140442238089375,0.000140442238089375,0.000140442238089375,0.000140442238089375
k115_4771,0.000109353652757667,0.000109353652757667,0.000109353652757667,0.000109353652757667,0.000109353652757667
k115_3114,0.00037338094302553996,0.00037338094302553996,0.00037338094302553996,0.00037338094302553996,0.00037338094302553996
k115_960,4.4473204058095e-05,4.4473204058095e-05,4.4473204058095e-05,4.4473204058095e-05,4.4473204058095e-05
k115_2268,0.000128634704370179,0.000128634704370179,0.000128634704370179,0.000128634704370179,0.000128634704370179
k115_8505,2.5280211316283e-05,2.5280211316283e-05,2.5280211316283e-05,2.5280211316283e-05,2.5280211316283e-05
k115_5992,9.5814043706589e-05,9.5814043706589e-05,9.5814043706589e-05,9.5814043706589e-05,9.5814043706589e-05
k115_1777,0.000137189310504396,0.000137189310504396,0.000137189310504396,0.000137189310504396,0.000137189310504396
k115_5172,8.326733067729001e-05,8.326733067729001e-05,8.326733067729001e-05,8.326733067729001e-05,8.326733067729001e-05
k115_363,0.006462720474081791,0.006462720474081791,0.006462720474081791,0.006462720474081791,0.006462720474081791
k115_5587,0.000254895304895505,0.000254895304895505,0.000254895304895505,0.000254895304895505,0.000254895304895505
k115_8515,0.000273023150586545,0.000273023150586545,0.000273023150586545,0.000273023150586545,0.000273023150586545
k115_9349,0.000138259712627797,0.000138259712627797,0.000138259712627797,0.000138259712627797,0.000138259712627797
k115_3485,6.3532151188697e-05,6.3532151188697e-05,6.3532151188697e-05,6.3532151188697e-05,6.3532151188697e-05
k115_6359,6.267890980951799e-05,6.267890980951799e-05,6.267890980951799e-05,6.267890980951799e-05,6.267890980951799e-05
k115_8516,0.000612016264090177,0.000612016264090177,0.000612016264090177,0.000612016264090177,0.000612016264090177
k115_2566,6.6438223601128e-05,6.6438223601128e-05,6.6438223601128e-05,6.6438223601128e-05,6.6438223601128e-05
k115_6753,0.000121855686942579,0.000121855686942579,0.000121855686942579,0.000121855686942579,0.000121855686942579
k115_7245,0.000115818418514946,0.000115818418514946,0.000115818418514946,0.000115818418514946,0.000115818418514946
k115_8534,4.3122317827372e-05,4.3122317827372e-05,4.3122317827372e-05,4.3122317827372e-05,4.3122317827372e-05
k115_4807,8.6737688873118e-05,8.6737688873118e-05,8.6737688873118e-05,8.6737688873118e-05,8.6737688873118e-05
k115_9693,0.00016921551940327298,0.00016921551940327298,0.00016921551940327298,0.00016921551940327298,0.00016921551940327298
k115_1399,2.2613467878105002e-05,2.2613467878105002e-05,2.2613467878105002e-05,2.2613467878105002e-05,2.2613467878105002e-05
k115_4372,4.9026610084872e-05,4.9026610084872e-05,4.9026610084872e-05,4.9026610084872e-05,4.9026610084872e-05
k115_3924,0.000201854385964912,0.000201854385964912,0.000201854385964912,0.000201854385964912,0.000201854385964912
k115_1407,0.000319049343339587,0.000319049343339587,0.000319049343339587,0.000319049343339587,0.000319049343339587
k115_1070,0.000305730026809651,0.000305730026809651,0.000305730026809651,0.000305730026809651,0.000305730026809651
k115_4399,0.004461943846493162,0.004461943846493162,0.004461943846493162,0.004461943846493162,0.004461943846493162
k115_682,8.7016479594773e-05,8.7016479594773e-05,8.7016479594773e-05,8.7016479594773e-05,8.7016479594773e-05
k115_3150,0.000103081029810298,0.000103081029810298,0.000103081029810298,0.000103081029810298,0.000103081029810298
k115_6065,0.000132044893603259,0.000132044893603259,0.000132044893603259,0.000132044893603259,0.000132044893603259
k115_8929,7.5139710795859e-05,7.5139710795859e-05,7.5139710795859e-05,7.5139710795859e-05,7.5139710795859e-05
k115_2569,0.000131269815264821,0.000131269815264821,0.000131269815264821,0.000131269815264821,0.000131269815264821
k115_4402,6.4774686327771e-05,6.4774686327771e-05,6.4774686327771e-05,6.4774686327771e-05,6.4774686327771e-05
k115_8065,0.000130720737486995,0.000130720737486995,0.000130720737486995,0.000130720737486995,0.000130720737486995
k115_2576,0.00023054538001329402,0.00023054538001329402,0.00023054538001329402,0.00023054538001329402,0.00023054538001329402
k115_9751,9.0768378400064e-05,9.0768378400064e-05,9.0768378400064e-05,9.0768378400064e-05,9.0768378400064e-05
k115_7339,0.000183827034120734,0.000183827034120734,0.000183827034120734,0.000183827034120734,0.000183827034120734
k115_7686,0.00010166001835315699,0.00010166001835315699,0.00010166001835315699,0.00010166001835315699,0.00010166001835315699
k115_1105,0.000124077188197371,0.000124077188197371,0.000124077188197371,0.000124077188197371,0.000124077188197371
k115_6420,9.003816750983599e-05,9.003816750983599e-05,9.003816750983599e-05,9.003816750983599e-05,9.003816750983599e-05
k115_9758,0.00018321456814130599,0.00018321456814130599,0.00018321456814130599,0.00018321456814130599,0.00018321456814130599
k115_6776,2.5350274782402e-05,2.5350274782402e-05,2.5350274782402e-05,2.5350274782402e-05,2.5350274782402e-05
k115_7690,0.000266449583828775,0.000266449583828775,0.000266449583828775,0.000266449583828775,0.000266449583828775
k115_3171,3.9793593314763005e-05,3.9793593314763005e-05,3.9793593314763005e-05,3.9793593314763005e-05,3.9793593314763005e-05
k115_6078,8.1667643226024e-05,8.1667643226024e-05,8.1667643226024e-05,8.1667643226024e-05,8.1667643226024e-05
k115_2371,6.274731422900301e-05,6.274731422900301e-05,6.274731422900301e-05,6.274731422900301e-05,6.274731422900301e-05
k115_5675,2.5433646739272e-05,2.5433646739272e-05,2.5433646739272e-05,2.5433646739272e-05,2.5433646739272e-05
k115_4035,0.00011767902852737,0.00011767902852737,0.00011767902852737,0.00011767902852737,0.00011767902852737
k115_3177,8.272201794703401e-05,8.272201794703401e-05,8.272201794703401e-05,8.272201794703401e-05,8.272201794703401e-05
k115_1113,0.000582724683980694,0.000582724683980694,0.000582724683980694,0.000582724683980694,0.000582724683980694
k115_6786,0.000272962576484207,0.000272962576484207,0.000272962576484207,0.000272962576484207,0.000272962576484207
k115_9359,9.385825802018899e-05,9.385825802018899e-05,9.385825802018899e-05,9.385825802018899e-05,9.385825802018899e-05
k115_5215,0.000102285287780855,0.000102285287780855,0.000102285287780855,0.000102285287780855,0.000102285287780855
k115_8106,0.000245178344716753,0.000245178344716753,0.000245178344716753,0.000245178344716753,0.000245178344716753
k115_8535,0.00014034099666417,0.00014034099666417,0.00014034099666417,0.00014034099666417,0.00014034099666417
k115_5702,0.000342061679989849,0.000342061679989849,0.000342061679989849,0.000342061679989849,0.000342061679989849
k115_4418,9.906655774612601e-05,9.906655774612601e-05,9.906655774612601e-05,9.906655774612601e-05,9.906655774612601e-05
k115_6443,2.6486152547143e-05,2.6486152547143e-05,2.6486152547143e-05,2.6486152547143e-05,2.6486152547143e-05
k115_2389,4.0043938332165e-05,4.0043938332165e-05,4.0043938332165e-05,4.0043938332165e-05,4.0043938332165e-05
k115_9775,0.0018281844196777531,0.0018281844196777531,0.0018281844196777531,0.0018281844196777531,0.0018281844196777531
k115_2637,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1132,0.00017012302905580802,0.00017012302905580802,0.00017012302905580802,0.00017012302905580802,0.00017012302905580802
k115_7738,7.3153706856523e-05,7.3153706856523e-05,7.3153706856523e-05,7.3153706856523e-05,7.3153706856523e-05
k115_1541,6.1274551386623e-05,6.1274551386623e-05,6.1274551386623e-05,6.1274551386623e-05,6.1274551386623e-05
k115_7382,0.00039421872368982904,0.00039421872368982904,0.00039421872368982904,0.00039421872368982904,0.00039421872368982904
k115_1923,0.00018826471229888098,0.00018826471229888098,0.00018826471229888098,0.00018826471229888098,0.00018826471229888098
k115_8140,0.000234118264840182,0.000234118264840182,0.000234118264840182,0.000234118264840182,0.000234118264840182
k115_3648,0.000141515301566335,0.000141515301566335,0.000141515301566335,0.000141515301566335,0.000141515301566335
k115_2432,0.00010191298562114801,0.00010191298562114801,0.00010191298562114801,0.00010191298562114801,0.00010191298562114801
k115_6161,4.4645910128626005e-05,4.4645910128626005e-05,4.4645910128626005e-05,4.4645910128626005e-05,4.4645910128626005e-05
k115_8144,0.000629670747217806,0.000629670747217806,0.000629670747217806,0.000629670747217806,0.000629670747217806
k115_8943,0.0006115104509481449,0.0006115104509481449,0.0006115104509481449,0.0006115104509481449,0.0006115104509481449
k115_4442,3.4234802527172996e-05,3.4234802527172996e-05,3.4234802527172996e-05,3.4234802527172996e-05,3.4234802527172996e-05
k115_5716,8.5663398161783e-05,8.5663398161783e-05,8.5663398161783e-05,8.5663398161783e-05,8.5663398161783e-05
k115_4083,5.6713583408753e-05,5.6713583408753e-05,5.6713583408753e-05,5.6713583408753e-05,5.6713583408753e-05
k115_2657,2.639872469198e-05,2.639872469198e-05,2.639872469198e-05,2.639872469198e-05,2.639872469198e-05
k115_1191,0.000189007193849533,0.000189007193849533,0.000189007193849533,0.000189007193849533,0.000189007193849533
k115_6474,7.769852971206799e-05,7.769852971206799e-05,7.769852971206799e-05,7.769852971206799e-05,7.769852971206799e-05
k115_2437,0.00046659301444470694,0.00046659301444470694,0.00046659301444470694,0.00046659301444470694,0.00046659301444470694
k115_9807,2.7575223236187998e-05,2.7575223236187998e-05,2.7575223236187998e-05,2.7575223236187998e-05,2.7575223236187998e-05
k115_7434,0.00012573421116211602,0.00012573421116211602,0.00012573421116211602,0.00012573421116211602,0.00012573421116211602
k115_1999,0.000248288007906874,0.000248288007906874,0.000248288007906874,0.000248288007906874,0.000248288007906874
k115_8149,2.7352671194358998e-05,2.7352671194358998e-05,2.7352671194358998e-05,2.7352671194358998e-05,2.7352671194358998e-05
k115_6178,0.000258984803921568,0.000258984803921568,0.000258984803921568,0.000258984803921568,0.000258984803921568
k115_3216,5.9905136205814995e-05,5.9905136205814995e-05,5.9905136205814995e-05,5.9905136205814995e-05,5.9905136205814995e-05
k115_8949,2.7004321506642e-05,2.7004321506642e-05,2.7004321506642e-05,2.7004321506642e-05,2.7004321506642e-05
