,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_2895,0.000417382127031019,0.000417382127031019,0.000417382127031019,0.000417382127031019,0.000417382127031019
k115_414,4.8111689802734e-05,4.8111689802734e-05,4.8111689802734e-05,4.8111689802734e-05,4.8111689802734e-05
k115_2481,0.000192691227423516,0.000192691227423516,0.000192691227423516,0.000192691227423516,0.000192691227423516
k115_9096,3.2266508987701005e-05,3.2266508987701005e-05,3.2266508987701005e-05,3.2266508987701005e-05,3.2266508987701005e-05
k115_430,0.000266109852216748,0.000266109852216748,0.000266109852216748,0.000266109852216748,0.000266109852216748
k115_4974,0.000213122508038585,0.000213122508038585,0.000213122508038585,0.000213122508038585,0.000213122508038585
k115_1275,0.000114787384387717,0.000114787384387717,0.000114787384387717,0.000114787384387717,0.000114787384387717
k115_4148,0.000164856932673401,0.000164856932673401,0.000164856932673401,0.000164856932673401,0.000164856932673401
k115_4580,0.000140193395597064,0.000140193395597064,0.000140193395597064,0.000140193395597064,0.000140193395597064
k115_9518,0.006674322797927461,0.006674322797927461,0.006674322797927461,0.006674322797927461,0.006674322797927461
k115_438,0.0023273138228941683,0.0023273138228941683,0.0023273138228941683,0.0023273138228941683,0.0023273138228941683
k115_9524,0.00021443674684448603,0.00021443674684448603,0.00021443674684448603,0.00021443674684448603,0.00021443674684448603
k115_6632,4.566577504008099e-05,4.566577504008099e-05,4.566577504008099e-05,4.566577504008099e-05,4.566577504008099e-05
k115_6202,0.000198572920421132,0.000198572920421132,0.000198572920421132,0.000198572920421132,0.000198572920421132
k115_1697,6.6095525727069e-05,6.6095525727069e-05,6.6095525727069e-05,6.6095525727069e-05,6.6095525727069e-05
k115_2513,5.8984984328996e-05,5.8984984328996e-05,5.8984984328996e-05,5.8984984328996e-05,5.8984984328996e-05
k115_4987,0.00015676158325246,0.00015676158325246,0.00015676158325246,0.00015676158325246,0.00015676158325246
k115_7493,9.4847340425531e-05,9.4847340425531e-05,9.4847340425531e-05,9.4847340425531e-05,9.4847340425531e-05
k115_7046,4.4655104180317e-05,4.4655104180317e-05,4.4655104180317e-05,4.4655104180317e-05,4.4655104180317e-05
k115_5461,9.8028763324378e-05,9.8028763324378e-05,9.8028763324378e-05,9.8028763324378e-05,9.8028763324378e-05
k115_3361,0.00021499161168708698,0.00021499161168708698,0.00021499161168708698,0.00021499161168708698,0.00021499161168708698
k115_8345,0.0017735447539461461,0.0017735447539461461,0.0017735447539461461,0.0017735447539461461,0.0017735447539461461
k115_2127,0.000816676753310446,0.000816676753310446,0.000816676753310446,0.000816676753310446,0.000816676753310446
k115_5821,0.000135513728000694,0.000135513728000694,0.000135513728000694,0.000135513728000694,0.000135513728000694
k115_887,9.645036496350301e-05,9.645036496350301e-05,9.645036496350301e-05,9.645036496350301e-05,9.645036496350301e-05
k115_6233,0.004246031283905968,0.004246031283905968,0.004246031283905968,0.004246031283905968,0.004246031283905968
k115_469,0.000295920745216515,0.000295920745216515,0.000295920745216515,0.000295920745216515,0.000295920745216515
k115_8349,8.6168855084067e-05,8.6168855084067e-05,8.6168855084067e-05,8.6168855084067e-05,8.6168855084067e-05
