,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_1697_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2513_1,0.00011786996865799201,0.00011786996865799201,0.00011786996865799201,0.00011786996865799201,0.00011786996865799201
k115_2513_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4987_1,0.00020991606433126898,0.00020991606433126898,0.00020991606433126898,0.00020991606433126898,0.00020991606433126898
k115_4987_2,0.00010361201478743001,0.00010361201478743001,0.00010361201478743001,0.00010361201478743001,0.00010361201478743001
k115_7493_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7493_2,0.00018959468085106302,0.00018959468085106302,0.00018959468085106302,0.00018959468085106302,0.00018959468085106302
k115_7046_1,8.921020836063401e-05,8.921020836063401e-05,8.921020836063401e-05,8.921020836063401e-05,8.921020836063401e-05
k115_7046_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5461_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5461_2,0.00019594055459272003,0.00019594055459272003,0.00019594055459272003,0.00019594055459272003,0.00019594055459272003
k115_3361_1,0.00042996425339366496,0.00042996425339366496,0.00042996425339366496,0.00042996425339366496,0.00042996425339366496
k115_3361_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8345_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8345_2,0.003546989507892293,0.003546989507892293,0.003546989507892293,0.003546989507892293,0.003546989507892293
k115_2127_1,0.001633253506620892,0.001633253506620892,0.001633253506620892,0.001633253506620892,0.001633253506620892
k115_2127_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5821_1,0.000220152083333333,0.000220152083333333,0.000220152083333333,0.000220152083333333,0.000220152083333333
k115_5821_2,5.0879046048348e-05,5.0879046048348e-05,5.0879046048348e-05,5.0879046048348e-05,5.0879046048348e-05
k115_887_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_887_2,0.00019280072992700702,0.00019280072992700702,0.00019280072992700702,0.00019280072992700702,0.00019280072992700702
k115_469_1,0.000365155387713998,0.000365155387713998,0.000365155387713998,0.000365155387713998,0.000365155387713998
k115_469_2,0.00022668610271903302,0.00022668610271903302,0.00022668610271903302,0.00022668610271903302,0.00022668610271903302
k115_8349_1,0.00017223771016813401,0.00017223771016813401,0.00017223771016813401,0.00017223771016813401,0.00017223771016813401
