,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_828_1,0.04187080314285416,0.024053441998805703,0.016035629483983897,0.012472157255174206,0.020935403798597225,0.008463250997763303,0.013363025312376629,0.010244987112168149,0.01648106351258511,0.014699327398180263,0.0071269489119596685,0.0040089107117511884,0.013363025312376629,0.012472157255174206,0.005790646826156034,0.0040089107117511884,0.02360800797020449,0.012026723226572994,0.01069042114076936,0.006681514883358457,0.013363025312376629,0.01380845934097784,0.010244987112168149,0.011581289197971783,0.008017816969162091,0.008463250997763303,0.004899778768953611,0.009799553083566937,0.014253893369579052,0.0071269489119596685,0.0071269489119596685,0.015590195455382686,0.012026723226572994,0.005345212797554823,0.008463250997763303,0.005790646826156034,0.0071269489119596685,0.009354119054965726,0.003563476683149977,0.005345212797554823,0.0040089107117511884,0.005345212797554823,0.002672608625947554,0.002672608625947554,0.0031180426545487656,0.012026723226572994,0.006236080854757246,0.0040089107117511884,0.0071269489119596685,0.005345212797554823,0.006681514883358457,0.0071269489119596685,0.0008908725115427088,0.0022271745973463427,0.0017817405687451315,0.006681514883358457,0.0013363065401439203,0.0040089107117511884,0.020935403798597225,0.0071269489119596685,0.006681514883358457,0.008463250997763303,0.010244987112168149,0.01692649754118632,0.011135855169370571,0.005790646826156034,0.004899778768953611,0.00757238294056088,0.003563476683149977,0.004899778768953611,0.004899778768953611,0.008017816969162091,0.006681514883358457,0.012917591283775417,0.018708233655591166,0.012026723226572994,0.010244987112168149,0.006236080854757246,0.013363025312376629,0.011135855169370571,0.010244987112168149,0.005345212797554823,0.005345212797554823,0.0022271745973463427,0.0071269489119596685,0.008908685026364514,0.006236080854757246,0.0022271745973463427,0.003563476683149977,0.0017817405687451315,0.0044543447403524,0.004899778768953611,0.005345212797554823,0.008463250997763303,0.011135855169370571,0.005790646826156034,0.0040089107117511884,0.003563476683149977,0.0044543447403524,0.006681514883358457,0.011135855169370571,0.010244987112168149,0.006681514883358457,0.0022271745973463427,0.0071269489119596685,0.004899778768953611,0.0017817405687451315,0.0017817405687451315,0.005790646826156034,0.002672608625947554,0.005790646826156034,0.0017817405687451315,0.003563476683149977,0.0031180426545487656,0.0040089107117511884,0.008017816969162091,0.004899778768953611,0.0071269489119596685,0.0031180426545487656,0.0022271745973463427,4.454340286012114e-09,0.0040089107117511884,0.002672608625947554,0.0013363065401439203,4.454340286012114e-09,0.00044543848294149743,0.008017816969162091,0.0013363065401439203,0.0022271745973463427,0.0017817405687451315,0.0022271745973463427,0.003563476683149977,0.0044543447403524,0.0022271745973463427,4.454340286012114e-09,0.00044543848294149743,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_828_2,0.03251668854222872,0.022271705884400857,0.013363025312376629,0.00757238294056088,0.024498876027406913,0.008463250997763303,0.011581289197971783,0.01069042114076936,0.02048996976999601,0.008908685026364514,0.008017816969162091,0.005345212797554823,0.009354119054965726,0.006236080854757246,0.003563476683149977,0.003563476683149977,0.017371931569787533,0.012026723226572994,0.012026723226572994,0.01380845934097784,0.012472157255174206,0.014253893369579052,0.014699327398180263,0.014253893369579052,0.01069042114076936,0.00757238294056088,0.005345212797554823,0.011135855169370571,0.012917591283775417,0.003563476683149977,0.01069042114076936,0.018262799626989956,0.014253893369579052,0.004899778768953611,0.013363025312376629,0.004899778768953611,0.006236080854757246,0.012026723226572994,0.008017816969162091,0.005790646826156034,0.0040089107117511884,0.008463250997763303,0.004899778768953611,0.0031180426545487656,0.0044543447403524,0.0071269489119596685,0.008017816969162091,0.004899778768953611,0.006681514883358457,0.005345212797554823,0.009799553083566937,0.0044543447403524,0.0008908725115427088,0.0017817405687451315,0.0022271745973463427,0.0040089107117511884,0.002672608625947554,0.0040089107117511884,0.018262799626989956,0.01069042114076936,0.005790646826156034,0.008017816969162091,0.01380845934097784,0.012917591283775417,0.012026723226572994,0.008017816969162091,0.009354119054965726,0.012917591283775417,0.002672608625947554,0.008463250997763303,0.006236080854757246,0.008017816969162091,0.009354119054965726,0.008463250997763303,0.01648106351258511,0.015144761426781474,0.005790646826156034,0.006236080854757246,0.015144761426781474,0.0040089107117511884,0.010244987112168149,0.008908685026364514,0.0040089107117511884,0.004899778768953611,0.003563476683149977,0.011135855169370571,0.0040089107117511884,0.003563476683149977,0.0031180426545487656,0.0013363065401439203,0.003563476683149977,0.005790646826156034,0.0040089107117511884,0.010244987112168149,0.008017816969162091,0.0013363065401439203,0.0040089107117511884,0.002672608625947554,0.002672608625947554,0.005345212797554823,0.012917591283775417,0.003563476683149977,0.008463250997763303,0.0031180426545487656,0.009354119054965726,0.006681514883358457,0.002672608625947554,0.0022271745973463427,0.006236080854757246,0.0040089107117511884,0.005790646826156034,0.0040089107117511884,0.002672608625947554,0.002672608625947554,0.0031180426545487656,0.0071269489119596685,0.0044543447403524,0.0044543447403524,0.0017817405687451315,0.0013363065401439203,4.454340286012114e-09,0.005345212797554823,0.0044543447403524,4.454340286012114e-09,0.00044543848294149743,4.454340286012114e-09,0.005790646826156034,0.0017817405687451315,0.0044543447403524,0.0013363065401439203,0.004899778768953611,0.005345212797554823,0.003563476683149977,0.0013363065401439203,4.454340286012114e-09,0.00044543848294149743,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9501_1,0.029287430606610522,0.013888886205046682,0.01811593760939754,0.015700479664054193,0.015398547420886274,0.003019325451001616,0.01026569928703166,0.00845410582802415,0.01600241190722211,0.013285021718710845,0.013285021718710845,0.009359902557527904,0.0141908184482146,0.009359902557527904,0.00815217358485623,0.009661834800695823,0.015398547420886274,0.005132851153177046,0.006944444612184556,0.009661834800695823,0.007850241341688312,0.00845410582802415,0.009963767043863743,0.006944444612184556,0.006944444612184556,0.00422705442367329,0.009359902557527904,0.007850241341688312,0.008756038071192067,0.005434783396344964,0.002113528721497861,0.011171496016535415,0.006340580125848719,0.007246376855352474,0.006642512369016637,0.006340580125848719,0.005736715639512883,0.00815217358485623,0.012379224989207089,0.003623189937337453,0.004830918910009127,0.00845410582802415,0.0027173932078336975,0.006340580125848719,0.004528986666841209,0.016908208636725867,0.006340580125848719,0.006340580125848719,0.003925122180505372,0.005132851153177046,0.005736715639512883,0.008756038071192067,0.002113528721497861,0.005736715639512883,0.00815217358485623,0.006642512369016637,0.004830918910009127,0.004528986666841209,0.0141908184482146,0.00815217358485623,0.006038647882680801,0.00422705442367329,0.009359902557527904,0.009057970314359984,0.005736715639512883,0.005434783396344964,0.003623189937337453,0.006340580125848719,0.00845410582802415,0.007246376855352474,0.003925122180505372,0.005132851153177046,0.00815217358485623,0.017210140879893785,0.01630434415039003,0.009057970314359984,0.007850241341688312,0.019323666582069216,0.012077292746039171,0.011171496016535415,0.009661834800695823,0.004830918910009127,0.003623189937337453,0.007548309098520393,0.00845410582802415,0.004830918910009127,0.0027173932078336975,0.006944444612184556,0.00815217358485623,0.011473428259703334,0.00815217358485623,0.005434783396344964,0.006944444612184556,0.003925122180505372,0.007850241341688312,0.005434783396344964,0.004830918910009127,0.007850241341688312,0.00422705442367329,0.001509664235162024,0.01026569928703166,0.007548309098520393,0.006642512369016637,3.0193224316791846e-09,0.004830918910009127,0.003925122180505372,0.004830918910009127,0.0033212576941695346,0.006038647882680801,0.002415460964665779,0.012077292746039171,0.006642512369016637,0.007548309098520393,0.007246376855352474,0.00422705442367329,0.0027173932078336975,0.00815217358485623,0.0012077319919941054,0.0033212576941695346,0.003623189937337453,0.000905799748826187,0.00815217358485623,0.007850241341688312,0.003623189937337453,0.002415460964665779,0.003019325451001616,0.015398547420886274,0.0006038675056582686,0.005434783396344964,0.005434783396344964,0.0003019352624903502,0.002415460964665779,0.00845410582802415,0.003019325451001616,0.001509664235162024,0.0003019352624903502,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9501_2,0.0223429890137484,0.014794682934550437,0.018719802095733377,0.016606276393557946,0.013285021718710845,0.004528986666841209,0.011171496016535415,0.009661834800695823,0.016606276393557946,0.009963767043863743,0.009963767043863743,0.009359902557527904,0.019021734338901294,0.00815217358485623,0.009057970314359984,0.009359902557527904,0.011473428259703334,0.004528986666841209,0.009661834800695823,0.009359902557527904,0.005132851153177046,0.011775360502871252,0.011473428259703334,0.005434783396344964,0.005434783396344964,0.00845410582802415,0.009057970314359984,0.007850241341688312,0.007850241341688312,0.009359902557527904,0.0033212576941695346,0.0141908184482146,0.004830918910009127,0.006642512369016637,0.005434783396344964,0.007850241341688312,0.00422705442367329,0.005132851153177046,0.007246376855352474,0.005132851153177046,0.004830918910009127,0.011775360502871252,0.0033212576941695346,0.005132851153177046,0.005736715639512883,0.017210140879893785,0.012681157232375008,0.006340580125848719,0.004528986666841209,0.006944444612184556,0.00422705442367329,0.009963767043863743,0.0018115964783299422,0.006944444612184556,0.003925122180505372,0.007246376855352474,0.007548309098520393,0.003623189937337453,0.014794682934550437,0.00845410582802415,0.005132851153177046,0.004528986666841209,0.006944444612184556,0.01026569928703166,0.004830918910009127,0.004830918910009127,0.005132851153177046,0.009963767043863743,0.006038647882680801,0.007850241341688312,0.003925122180505372,0.004528986666841209,0.009661834800695823,0.015700479664054193,0.019625598825237133,0.007850241341688312,0.011473428259703334,0.017512073123061703,0.009963767043863743,0.011171496016535415,0.011775360502871252,0.003925122180505372,0.003019325451001616,0.005132851153177046,0.007548309098520393,0.00815217358485623,0.005736715639512883,0.006642512369016637,0.006642512369016637,0.005736715639512883,0.009057970314359984,0.006642512369016637,0.004830918910009127,0.00815217358485623,0.003925122180505372,0.002113528721497861,0.007548309098520393,0.007548309098520393,0.006642512369016637,0.00422705442367329,0.009661834800695823,0.006340580125848719,0.00845410582802415,3.0193224316791846e-09,0.003925122180505372,0.004528986666841209,0.004528986666841209,0.0033212576941695346,0.005132851153177046,0.002415460964665779,0.017512073123061703,0.006038647882680801,0.005434783396344964,0.006340580125848719,0.003623189937337453,0.005434783396344964,0.005132851153177046,0.002415460964665779,0.005736715639512883,0.006340580125848719,3.0193224316791846e-09,0.007850241341688312,0.01026569928703166,0.005736715639512883,0.000905799748826187,0.003925122180505372,0.009057970314359984,0.000905799748826187,0.003623189937337453,0.004830918910009127,3.0193224316791846e-09,0.0018115964783299422,0.002415460964665779,0.0027173932078336975,0.000905799748826187,0.0003019352624903502,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_414_1,0.018305221124002305,0.010078156374682701,0.017482514649070344,0.013574658893143533,0.013163305655677552,0.0030851513377610383,0.009461126518483732,0.008021390187352801,0.010695186230881672,0.010900862849614662,0.008844096662284761,0.009049773281017751,0.009461126518483732,0.009461126518483732,0.0067873304749548604,0.00987247975594971,0.014397365368075492,0.004319211050158978,0.005964624000022899,0.008844096662284761,0.010078156374682701,0.00822706680608579,0.00843274342481878,0.007815713568619811,0.009255449899750742,0.011106539468347653,0.010078156374682701,0.007815713568619811,0.007815713568619811,0.006993007093687851,0.010489509612148682,0.010900862849614662,0.00822706680608579,0.005964624000022899,0.007815713568619811,0.008021390187352801,0.005553270762556919,0.0074043603311538305,0.0074043603311538305,0.002056768244096088,0.00637597723748888,0.00863842004355177,0.002262444862829078,0.004113534431425989,0.005964624000022899,0.010078156374682701,0.007610036949886821,0.00637597723748888,0.0067873304749548604,0.0061703006187558895,0.006993007093687851,0.004319211050158978,0.002262444862829078,0.00822706680608579,0.003907857812692999,0.0074043603311538305,0.010078156374682701,0.004730564287624959,0.012751952418211572,0.004319211050158978,0.005758947381289909,0.003907857812692999,0.006993007093687851,0.00987247975594971,0.005141917525090939,0.0028794747190280484,0.0012340617691641276,0.009255449899750742,0.005758947381289909,0.00719868371242084,0.003907857812692999,0.0034965045752270185,0.00719868371242084,0.013163305655677552,0.015220071843007454,0.00719868371242084,0.007815713568619811,0.010283832993415691,0.009255449899750742,0.010283832993415691,0.013163305655677552,0.005758947381289909,0.00637597723748888,0.005758947381289909,0.008844096662284761,0.009666803137216722,0.005553270762556919,0.009049773281017751,0.003907857812692999,0.005964624000022899,0.011517892705813632,0.006993007093687851,0.00719868371242084,0.008844096662284761,0.00822706680608579,0.004524887668891969,0.009666803137216722,0.0037021811939600083,0.013574658893143533,0.0061703006187558895,0.010283832993415691,0.009666803137216722,0.011929245943279612,0.0016454150066301078,0.004524887668891969,0.004524887668891969,0.005758947381289909,0.004524887668891969,0.00658165385622187,0.0037021811939600083,0.00658165385622187,0.00637597723748888,0.004319211050158978,0.0061703006187558895,0.0061703006187558895,0.006993007093687851,0.008021390187352801,0.0032908279564940286,0.004113534431425989,0.005553270762556919,0.002673798100295058,0.009461126518483732,0.00843274342481878,0.005964624000022899,0.002468121481562068,0.008844096662284761,0.0074043603311538305,0.004936240906357949,0.006993007093687851,0.002673798100295058,2.056766187329901e-09,0.00637597723748888,0.0032908279564940286,0.0074043603311538305,0.0014397383878971177,0.008021390187352801,9.6133402922755e-05,9.6133402922755e-05,9.6133402922755e-05,9.6133402922755e-05,9.6133402922755e-05
k115_414_2,0.01603947937205593,0.006785934766837073,0.017273285319418442,0.008431009363320426,0.009253546661562102,0.0008225393545849216,0.008019740714199588,0.006580300442276654,0.009870449635243358,0.008225375038760006,0.010692986933485034,0.011926792880847548,0.007814106389639168,0.0069915690913974924,0.008431009363320426,0.0063746661177162345,0.0063746661177162345,0.003907054222991206,0.007814106389639168,0.009047912337001682,0.004523957196672463,0.0071972034159579115,0.0069915690913974924,0.009047912337001682,0.0057577631440349775,0.00966481531068294,0.009047912337001682,0.009253546661562102,0.007814106389639168,0.0071972034159579115,0.010281718284364196,0.010692986933485034,0.0069915690913974924,0.00514086017035372,0.008019740714199588,0.006580300442276654,0.004112688547551625,0.009253546661562102,0.007814106389639168,0.00514086017035372,0.009253546661562102,0.010487352608924616,0.0030845169247495307,0.005346494494914139,0.010281718284364196,0.008431009363320426,0.010487352608924616,0.004935225845793301,0.0034957855738703687,0.008225375038760006,0.0057577631440349775,0.004318322872112044,0.0020563453019474356,0.010898621258045454,0.003907054222991206,0.0061690317931558155,0.00966481531068294,0.004935225845793301,0.004935225845793301,0.004318322872112044,0.0028788826001891117,0.0028788826001891117,0.0059633974685953965,0.010076083959803778,0.004729591521232882,0.0026732482756286926,0.0034957855738703687,0.008225375038760006,0.0055521288194745584,0.009047912337001682,0.0012338080037057595,0.0004112707054640836,0.0074028377405183305,0.011104255582605872,0.016450748021176766,0.0063746661177162345,0.0061690317931558155,0.010281718284364196,0.010487352608924616,0.010281718284364196,0.016245113696616346,0.004523957196672463,0.0061690317931558155,0.0061690317931558155,0.0074028377405183305,0.00945918098612252,0.0063746661177162345,0.007814106389639168,0.004318322872112044,0.004729591521232882,0.013160598828210062,0.008431009363320426,0.006580300442276654,0.009253546661562102,0.006785934766837073,0.0030845169247495307,0.010692986933485034,0.003907054222991206,0.01830145694222054,0.008842278012441264,0.0135718674773309,0.010692986933485034,0.010076083959803778,0.003907054222991206,0.006785934766837073,0.0063746661177162345,0.0061690317931558155,0.0061690317931558155,0.0061690317931558155,0.004112688547551625,0.0076084720650787495,0.0057577631440349775,0.0055521288194745584,0.004729591521232882,0.007814106389639168,0.011309889907166292,0.0069915690913974924,0.006785934766837073,0.008636643687880844,0.0063746661177162345,0.0030845169247495307,0.012132427205407968,0.010487352608924616,0.008636643687880844,0.0018507109773870166,0.010281718284364196,0.005346494494914139,0.004729591521232882,0.011309889907166292,0.0030845169247495307,2.0563432456041903e-09,0.008225375038760006,0.0028788826001891117,0.010898621258045454,0.0018507109773870166,0.00945918098612252,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7445_1,0.025269252540934727,0.013256003302334486,0.021541002777231203,0.015327253171058665,0.011184753433610306,0.0024855039849687524,0.01077050345986547,0.009942003512375798,0.015327253171058665,0.011184753433610306,0.011184753433610306,0.013670253276079321,0.012427503354844813,0.009942003512375798,0.010356253486120634,0.007456503669906783,0.011184753433610306,0.006628003722417111,0.006213753748672275,0.014084503249824158,0.007042253696161947,0.00787075364365162,0.008699253591141291,0.005799503774927439,0.005799503774927439,0.007456503669906783,0.008285003617396454,0.007456503669906783,0.007042253696161947,0.008699253591141291,0.00372825390620326,0.011599003407355141,0.005799503774927439,0.006213753748672275,0.010356253486120634,0.006213753748672275,0.004142503879948096,0.009527753538630963,0.007456503669906783,0.006213753748672275,0.0016570040374790807,0.012013253381099978,0.0028997539587135883,0.005385253801182603,0.005799503774927439,0.013670253276079321,0.007042253696161947,0.009942003512375798,0.006213753748672275,0.006628003722417111,0.006628003722417111,0.01077050345986547,0.0049710038274377675,0.004142503879948096,0.007456503669906783,0.006628003722417111,0.00372825390620326,0.003314003932458424,0.013256003302334486,0.008285003617396454,0.007042253696161947,0.007456503669906783,0.009527753538630963,0.009113503564886126,0.0028997539587135883,0.005385253801182603,0.004142503879948096,0.012427503354844813,0.01077050345986547,0.0049710038274377675,0.003314003932458424,0.006213753748672275,0.011599003407355141,0.016570003092293173,0.020298252855996696,0.007042253696161947,0.005385253801182603,0.017398503039782843,0.010356253486120634,0.01491300319731383,0.012013253381099978,0.004556753853692932,0.001242754063734245,0.006628003722417111,0.0049710038274377675,0.005385253801182603,0.004142503879948096,0.007456503669906783,0.006628003722417111,0.008285003617396454,0.009527753538630963,0.006628003722417111,0.004142503879948096,0.007456503669906783,0.0049710038274377675,0.004556753853692932,0.006628003722417111,0.005385253801182603,0.003314003932458424,0.0020712540112239166,0.010356253486120634,0.009942003512375798,0.007042253696161947,0.00041425411624457334,0.0020712540112239166,0.004142503879948096,0.0016570040374790807,0.0024855039849687524,0.006213753748672275,0.003314003932458424,0.00787075364365162,0.007456503669906783,0.007042253696161947,0.004556753853692932,0.001242754063734245,0.00372825390620326,0.006213753748672275,0.005385253801182603,0.008699253591141291,0.006213753748672275,4.1424997374483585e-09,0.010356253486120634,0.007042253696161947,0.00372825390620326,0.0024855039849687524,0.00372825390620326,0.011184753433610306,4.1424997374483585e-09,0.006213753748672275,0.009527753538630963,4.1424997374483585e-09,0.003314003932458424,0.00372825390620326,0.00372825390620326,0.0008285040899894091,4.1424997374483585e-09,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7445_2,0.02154100277723122,0.015741503144803513,0.012427503354844821,0.015741503144803513,0.013256003302334497,0.007042253696161952,0.009942003512375805,0.009113503564886133,0.010770503459865478,0.009942003512375805,0.008699253591141296,0.010356253486120641,0.00952775353863097,0.009942003512375805,0.01159900340735515,0.007870753643651624,0.012013253381099986,0.0057995037749274435,0.01159900340735515,0.004142503879948099,0.011184753433610313,0.010770503459865478,0.008699253591141296,0.0057995037749274435,0.007042253696161952,0.006213753748672279,0.007042253696161952,0.007870753643651624,0.007042253696161952,0.008285003617396461,0.0033140039324584267,0.013256003302334497,0.0037282539062032626,0.006213753748672279,0.005385253801182608,0.006628003722417116,0.004556753853692935,0.004556753853692935,0.008285003617396461,0.0033140039324584267,0.008285003617396461,0.007456503669906788,0.004142503879948099,0.006628003722417116,0.00952775353863097,0.010356253486120641,0.0057995037749274435,0.004971003827437771,0.005385253801182608,0.006213753748672279,0.004556753853692935,0.011184753433610313,0.004556753853692935,0.007456503669906788,0.0057995037749274435,0.0037282539062032626,0.006628003722417116,0.004971003827437771,0.011184753433610313,0.0057995037749274435,0.005385253801182608,0.0037282539062032626,0.008699253591141296,0.009942003512375805,0.008699253591141296,0.007456503669906788,0.004556753853692935,0.007870753643651624,0.004971003827437771,0.005385253801182608,0.004971003827437771,0.0057995037749274435,0.0057995037749274435,0.017812753013527693,0.01491300319731384,0.013670253276079332,0.008285003617396461,0.01491300319731384,0.012427503354844821,0.010770503459865478,0.007870753643651624,0.005385253801182608,0.004142503879948099,0.006628003722417116,0.004142503879948099,0.0057995037749274435,0.005385253801182608,0.011184753433610313,0.007042253696161952,0.010356253486120641,0.014498753223569005,0.004971003827437771,0.005385253801182608,0.0057995037749274435,0.004971003827437771,0.0037282539062032626,0.009113503564886133,0.005385253801182608,0.004556753853692935,0.0020712540112239183,0.013670253276079332,0.007042253696161952,0.007456503669906788,4.142499737448362e-09,0.0037282539062032626,0.006213753748672279,0.007456503669906788,0.0037282539062032626,0.008699253591141296,0.002485503984968754,0.010770503459865478,0.007456503669906788,0.012013253381099986,0.007870753643651624,0.001657004037479082,0.004142503879948099,0.006628003722417116,0.004556753853692935,0.004971003827437771,0.007042253696161952,0.0004142541162445736,0.012427503354844821,0.010770503459865478,0.0037282539062032626,0.004971003827437771,0.007456503669906788,0.007870753643651624,4.142499737448362e-09,0.004556753853692935,0.009942003512375805,4.142499737448362e-09,0.004142503879948099,0.006213753748672279,0.0033140039324584267,0.0004142541162445736,0.0008285040899894098,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1250_1,0.027272714958685287,0.01499999527273019,0.019545447008269115,0.01363635975206851,0.014545450099176297,0.004090911107436768,0.011363633884299047,0.007272727322314015,0.0204545373553769,0.009545453190083477,0.009545453190083477,0.00999999836363737,0.011363633884299047,0.005454546628098445,0.00636363697520623,0.009545453190083477,0.01499999527273019,0.0081818176694218,0.009090908016529585,0.010909088710745155,0.009545453190083477,0.008636362842975693,0.0081818176694218,0.00999999836363737,0.006818182148760122,0.007727272495867908,0.00636363697520623,0.014090904925622403,0.00999999836363737,0.0081818176694218,0.006818182148760122,0.0204545373553769,0.009090908016529585,0.005909091801652337,0.009545453190083477,0.005909091801652337,0.003636365933882875,0.00454545628099066,0.005909091801652337,0.006818182148760122,0.005454546628098445,0.005454546628098445,0.0027272755867750902,0.005000001454544553,0.007727272495867908,0.012727269404960724,0.007727272495867908,0.004090911107436768,0.0031818207603289826,0.005454546628098445,0.00636363697520623,0.00636363697520623,0.0018181852396673053,0.00636363697520623,0.004090911107436768,0.007727272495867908,0.0081818176694218,0.00454545628099066,0.012727269404960724,0.007727272495867908,0.005454546628098445,0.006818182148760122,0.007727272495867908,0.015454540446284082,0.005000001454544553,0.003636365933882875,0.005000001454544553,0.009090908016529585,0.007727272495867908,0.007272727322314015,0.002272730413221198,0.004090911107436768,0.01181817905785294,0.01499999527273019,0.0204545373553769,0.0081818176694218,0.007272727322314015,0.0081818176694218,0.012272724231406832,0.009090908016529585,0.00999999836363737,0.0027272755867750902,0.0031818207603289826,0.003636365933882875,0.007727272495867908,0.004090911107436768,0.005454546628098445,0.005454546628098445,0.0027272755867750902,0.00636363697520623,0.007272727322314015,0.0081818176694218,0.005909091801652337,0.01181817905785294,0.0081818176694218,0.004090911107436768,0.009090908016529585,0.005000001454544553,0.009545453190083477,0.00999999836363737,0.016363630793391867,0.006818182148760122,0.00999999836363737,0.0031818207603289826,0.004090911107436768,0.003636365933882875,0.00454545628099066,0.005000001454544553,0.003636365933882875,0.003636365933882875,0.006818182148760122,0.0027272755867750902,0.0031818207603289826,0.00636363697520623,0.005454546628098445,0.005909091801652337,0.00454545628099066,0.0027272755867750902,0.0027272755867750902,0.0031818207603289826,0.0009090948925595205,0.006818182148760122,0.005000001454544553,0.003636365933882875,0.0027272755867750902,0.00636363697520623,0.005909091801652337,0.0009090948925595205,0.005454546628098445,0.0018181852396673053,4.545451735538925e-09,0.005000001454544553,0.005000001454544553,0.005000001454544553,0.0018181852396673053,0.005000001454544553,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1250_2,0.009086777665598534,0.010904132290040927,0.013175825570593921,0.009086777665598534,0.012721486914483323,0.0027260364800501527,0.010904132290040927,0.008178100353377337,0.012721486914483323,0.009541116321709132,0.007269423041156139,0.007723761697266737,0.010449793633930329,0.012721486914483323,0.005906407072824344,0.006360745728934942,0.011358470946151528,0.011358470946151528,0.005452068416713744,0.009086777665598534,0.007723761697266737,0.009541116321709132,0.009086777665598534,0.011812809602262126,0.008178100353377337,0.009541116321709132,0.010904132290040927,0.012721486914483323,0.010449793633930329,0.008178100353377337,0.007723761697266737,0.010904132290040927,0.0068150843850455405,0.004543391104492547,0.005452068416713744,0.004997729760603146,0.004543391104492547,0.007269423041156139,0.005906407072824344,0.005452068416713744,0.004543391104492547,0.007723761697266737,0.0004543431994971598,0.004089052448381949,0.0031803751361607516,0.008178100353377337,0.008632439009487935,0.008178100353377337,0.004089052448381949,0.004997729760603146,0.008632439009487935,0.007723761697266737,0.004543391104492547,0.008632439009487935,0.002271697823939554,0.007723761697266737,0.008178100353377337,0.0068150843850455405,0.0068150843850455405,0.005452068416713744,0.004997729760603146,0.006360745728934942,0.009086777665598534,0.014084502882815118,0.0027260364800501527,0.00363471379227135,0.0018173591678289555,0.004997729760603146,0.005906407072824344,0.005906407072824344,0.0027260364800501527,0.002271697823939554,0.005906407072824344,0.010904132290040927,0.015447518851146915,0.011358470946151528,0.006360745728934942,0.009541116321709132,0.015901857507257516,0.010904132290040927,0.011812809602262126,0.004089052448381949,0.005906407072824344,0.012721486914483323,0.004997729760603146,0.008632439009487935,0.006360745728934942,0.008632439009487935,0.00363471379227135,0.0068150843850455405,0.012267148258372725,0.004543391104492547,0.010904132290040927,0.010904132290040927,0.006360745728934942,0.0027260364800501527,0.00999545497781973,0.005906407072824344,0.014084502882815118,0.005452068416713744,0.010904132290040927,0.014084502882815118,0.010449793633930329,0.0031803751361607516,0.007723761697266737,0.002271697823939554,0.008632439009487935,0.004089052448381949,0.00363471379227135,0.0018173591678289555,0.007269423041156139,0.010449793633930329,0.007723761697266737,0.005906407072824344,0.005906407072824344,0.00999545497781973,0.012267148258372725,0.004997729760603146,0.005906407072824344,0.005906407072824344,0.0031803751361607516,0.005906407072824344,0.004089052448381949,0.008632439009487935,0.002271697823939554,0.008632439009487935,0.007723761697266737,0.004997729760603146,0.004089052448381949,0.007269423041156139,0.0004543431994971598,0.004997729760603146,0.004089052448381949,0.006360745728934942,0.002271697823939554,0.004997729760603146,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
